elapsed_s,power_mA,temperature_C
0,0,795.4
4.89,0.1026,795.7
9.78,0.1056,795.6
14.67,0.1086,795.5
19.56,0.1116,795.5
24.45,0.1146,795.3
29.34,0.1176,795.5
34.23,0.1206,795.4
39.12,0.1236,795.5
44.01,0.1266,795.5
48.9,0.1296,795.4
53.79,0.1326,795.6
58.68,0.1356,795.4
63.57,0.1386,795.7
68.46,0.1416,795.4
73.35,0.1446,795.5
78.24,0.1476,795.5
83.13,0.1506,795.5
88.02,0.1536,795.6
92.91,0.1566,795.4
97.8,0.1596,795.5
102.7,0.1626,795.4
107.6,0.1656,795.7
112.5,0.1686,795.6
117.4,0.1716,795.5
122.3,0.1746,795.5
127.1,0.1776,795.5
132,0.1806,795.5
136.9,0.1836,795.5
141.8,0.1866,795.4
146.7,0.1896,795.5
151.6,0.1926,795.4
156.5,0.1956,795.5
161.4,0.1986,795.5
166.3,0.2016,795.5
171.2,0,795.4
176,0.1026,795.5
180.9,0.1056,795.4
185.8,0.1086,795.4
190.7,0.1116,796.1
195.6,0.1146,795.4
200.5,0.1176,795.5
205.4,0.1206,795.3
210.3,0.1236,795.4
215.2,0.1266,795.5
220.1,0.1296,795.4
224.9,0.1326,795.3
229.8,0.1356,795.4
234.7,0.1386,795.5
239.6,0.1416,795.4
244.5,0.1446,795.3
249.4,0.1476,795.5
254.3,0.1506,795
259.2,0.1536,795.5
264.1,0.1566,795.3
269,0.1596,795.4
273.8,0.1626,795.4
278.7,0.1656,795.4
283.6,0.1686,795.4
288.5,0.1716,795.5
293.4,0.1746,795.5
298.3,0.1776,795.5
303.2,0.1806,795.5
308.1,0.1836,795.5
313,0.1866,795.6
317.9,0.1896,795.4
322.7,0.1926,795.5
327.6,0.1956,795
332.5,0.1986,795
337.4,0.2016,795.4
342.3,0.2046,795.5
347.2,0.2076,795
352.1,0.2106,804.1
357,0.2106,819.2
361.9,0.2189,830.2
366.8,0.2273,845.4
371.6,0.2189,858.3
376.5,0.2106,870.9
381.4,0.2023,876.2
386.3,0.1939,885.1
391.2,0.1856,889
396.1,0.1772,889.4
401,0.1689,892.5
405.9,0.1606,886.3
410.8,0.1522,874
415.7,0.1439,861.8
420.5,0.1356,847.3
425.4,0.1439,829.5
430.3,0.1522,813.9
435.2,0.1,804.2
440.1,0.1,795.6
445,0.1,795.4
449.9,0.1,795.3
454.8,0.1,795.6
459.7,0.1,795.6
464.6,0,795.5
469.4,0.1017,795.5
474.3,0.1037,795.6
479.2,0.1057,795.5
484.1,0.1077,795.4
489,0.1097,795.4
493.9,0.1117,795.6
498.8,0.1137,795.5
503.7,0.1157,795.6
508.6,0.1177,795.5
513.5,0.1197,795.4
518.3,0.1217,795.5
523.2,0.1237,795.6
528.1,0.1257,795
533,0.1277,795.4
537.9,0.1297,795.4
542.8,0.1317,795.3
547.7,0.1337,795.5
552.6,0.1357,795.4
557.5,0.1377,795.5
562.4,0.1397,795
567.2,0.1417,795.5
572.1,0.1437,795.5
577,0.1457,795.6
581.9,0.1477,796.3
586.8,0.1497,795.4
591.7,0.1517,795.3
596.6,0.1537,795.6
601.5,0.1557,795.4
606.4,0.1577,795.6
611.3,0.1597,795.6
616.1,0.1617,795.5
621,0.1637,795.5
625.9,0.1657,795.5
630.8,0.1677,795.4
635.7,0.1697,795.6
640.6,0.1717,795.4
645.5,0.1737,795.3
650.4,0.1757,795.6
655.3,0.1777,795.4
660.2,0.1797,795.5
665,0.1817,795.5
669.9,0.1837,795.5
674.8,0.1857,795.7
679.7,0.1877,795.4
684.6,0.1897,803.4
689.5,0.1897,817.7
694.4,0.1981,830.6
699.3,0.2064,843
704.2,0.1981,854.9
709.1,0.1897,865.5
713.9,0.1814,873.8
718.8,0.1731,878.8
723.7,0.1647,876
728.6,0.1564,866.1
733.5,0.1481,856.3
738.4,0.1564,843.2
743.3,0.1647,831.7
748.2,0.1731,826.6
753.1,0.1814,823.6
758,0.1897,828.5
762.8,0.1981,841.2
767.7,0.2064,854.2
772.6,0.1981,867
777.5,0.1897,877.2
782.4,0.1814,886.1
787.3,0.1731,891
792.2,0.1647,887.7
797.1,0.1564,877.7
802,0.1481,866.5
806.9,0.1397,854.6
811.7,0.1481,838.5
816.6,0.1564,824.3
821.5,0.1647,815.8
826.4,0.1731,813.6
831.3,0.1814,813.2
836.2,0.1897,815.4
841.1,0.1981,828.2
846,0.2064,843.3
850.9,0.2147,858.2
855.8,0.2064,872.2
860.6,0.1981,887.5
865.5,0.1897,893.7
870.4,0.1814,899.9
875.3,0.1731,902.7
880.2,0.1647,898.6
885.1,0.1564,887.5
890,0.1481,876.9
894.9,0.1397,863.5
899.8,0.1314,846.4
904.7,0.1397,831.1
909.5,0.1481,817.8
914.4,0.1,806.1
919.3,0,795.5
924.2,0.1017,795.5
929.1,0.1037,795.4
934,0.1057,795.6
938.9,0.1077,795.5
943.8,0,795.5
948.7,0.1009,795.4
953.6,0.1019,795.4
958.4,0.1029,795.4
963.3,0.1039,795.5
968.2,0.1049,797.4
973.1,0.1059,795.5
978,0.1069,795
982.9,0.1079,795.5
987.8,0.1089,795.5
992.7,0.1099,795.6
997.6,0.1109,795.5
1002,0.1119,795.3
1007,0.1129,795.5
1012,0.1139,795.4
1017,0.1149,795.1
1022,0.1159,795.4
1027,0.1169,795.6
1032,0.1179,795.5
1037,0.1189,795.5
1042,0.1199,795.5
1046,0.1209,795.5
1051,0.1219,795.4
1056,0.1229,795.5
1061,0.1239,795.5
1066,0.1249,795.5
1071,0.1259,795.5
1076,0.1269,795.5
1081,0.1279,796.3
1086,0.1289,795.5
1090,0.1299,795.6
1095,0.1309,795.4
1100,0.1319,795.5
1105,0.1329,795.5
1110,0.1339,795.4
1115,0.1349,795.5
1120,0.1359,795.4
1125,0.1369,795.3
1130,0.1379,795.5
1134,0.1389,795.4
1139,0.1399,795.5
1144,0.1409,795.4
1149,0.1419,795.3
1154,0.1429,795.4
1159,0.1439,795.5
1164,0.1449,796.6
1169,0.1459,795.5
1174,0.1469,795.4
1178,0.1479,795.4
1183,0.1489,795.5
1188,0.1499,795.5
1193,0.1509,795.4
1198,0.1519,795.5
1203,0.1529,796
1208,0.1539,795.5
1213,0.1549,795.5
1218,0.1559,795.5
1223,0.1569,795.5
1227,0.1579,795.5
1232,0.1589,795
1237,0.1599,795.5
1242,0.1609,795
1247,0.1619,795.5
1252,0.1629,795.5
1257,0.1639,795.5
1262,0.1649,795.6
1267,0.1659,795.3
1271,0.1669,795.5
1276,0.1679,795.3
1281,0.1689,795.4
1286,0.1699,795.5
1291,0.1709,795.4
1296,0.1719,795.5
1301,0.1729,795.3
1306,0.1739,795.5
1311,0.1749,795.4
1315,0.1759,795.4
1320,0.1769,795.4
1325,0.1779,795.4
1330,0.1789,795.4
1335,0.1799,795.4
1340,0.1809,796
1345,0.1819,795.4
1350,0.1829,795.5
1355,0.1839,795.5
1359,0.1849,795.4
1364,0.1859,807.1
1369,0.1869,821.6
1374,0.1879,832.9
1379,0.1889,843.3
1384,0.1889,853.2
1389,0.1805,860.5
1394,0.1722,861.2
1399,0.1639,854.2
1403,0.1,846.5
1408,0.1,833.4
1413,0.1,815.3
1418,0.1,798.5
1423,0.1,795.4
1428,0.1,795.5
1433,0.1,795.4
1438,0.1,795
1443,0.1,795.5
1447,0.1,795.5
