elapsed_s,power_mA,temperature_C
0,0.001,799.5
2.876,0.001,799.5
5.752,0.001,799.4
8.628,0.001,799.5
11.5,0.001,799.5
14.38,0.001,799.5
17.26,0.001,799.4
20.13,0.001,799.3
23.01,0.001,799.5
25.88,0.001,799.4
28.76,0.001,799.5
31.64,0.001,799.5
34.51,0.001,799.4
37.39,0.001,799.4
40.26,0.001,799.7
43.14,0.001,799.6
46.02,0.001,799.5
48.89,0.001,799.5
51.77,0.001,799.5
54.64,0.001,799.5
57.52,0.001,799.5
60.4,0.001,799.6
63.27,0.001,799.5
66.15,0.001,799.4
69.02,0.001,799.4
71.9,0.001,799.6
74.78,0.001,799.5
77.65,0.001,799.4
80.53,0.001,799.4
83.4,0.001,799.5
86.28,0.001,799.4
89.16,0.001,799.5
92.03,0.001,799.4
94.91,0.001,799.5
97.78,0.001,799.6
100.7,0.001,799.5
103.5,0.001,799.5
106.4,0.001,799.5
109.3,0.001,799.4
112.2,0.001,799.5
115,0.001,799.7
117.9,0.001,799.4
120.8,0.001,799.4
123.7,0.001,799.4
126.5,0.001,799.4
129.4,0.001,799.4
132.3,0.001,799.3
135.2,0.001,799.3
138,0.001,799.4
140.9,0.001,799.5
143.8,0.001,799.4
146.7,0.001,799.5
149.6,0.001,799.6
152.4,0.001,799.5
155.3,0.001,799.6
158.2,0.001,799.5
161.1,0.001,799.5
163.9,0.001,799.4
166.8,0.001,799.5
169.7,0.001,799.5
172.6,0.001,799.5
175.4,0.001,799.4
178.3,0.001,799.4
181.2,0.001,799.5
184.1,0.001,799.5
186.9,0.001,799.4
189.8,0.001,799.2
192.7,0.001,799.6
195.6,0.001,799.5
198.4,0.001,799.5
201.3,0.001,799.3
204.2,0.001,799.5
207.1,0.001,799.7
209.9,0.001,799.6
212.8,0.001,799.6
215.7,0.001,799.4
218.6,0.001,799.5
221.5,0.001,799.4
224.3,0.001,799.4
227.2,0.001,799.4
230.1,0.001,799.4
233,0.001,799.5
235.8,0.001,799.5
238.7,0.001,799.5
241.6,0.001,799.6
244.5,0.001,799.5
247.3,0.001,799.3
250.2,0.001,799.5
253.1,0.001,799.6
256,0.001,799.5
258.8,0.001,799.4
261.7,0.001,799.3
264.6,0.001,799.5
267.5,0.001,799.6
270.3,0.001,799.6
273.2,0.001,799.5
276.1,0.001,799.4
279,0.001,799.5
281.8,0.001,799.4
284.7,0.001,799.5
287.6,0.001,799.4
290.5,0.001,799.4
293.4,0.001,799.4
296.2,0.001,799.5
299.1,0.001,799.5
302,0.001,799.5
304.9,0.001,799.5
307.7,0.001,799.5
310.6,0.001,799.3
313.5,0.001,799.4
316.4,0.001,799.5
319.2,0.001,799.4
322.1,0.001,799.5
325,0.001,799.4
327.9,0.001,799.5
330.7,0.001,799.7
333.6,0.001,799.4
336.5,0.001,799.4
339.4,0.001,799.7
342.2,0.001,799.6
345.1,0.001,799.5
348,0.001,799.3
350.9,0.001,799.5
353.7,0.001,799.6
356.6,0.001,799.6
359.5,0.001,799.6
362.4,0.001,799.6
365.3,0.001,799.6
368.1,0.001,799.6
371,0.001,799.4
373.9,0.001,799.4
376.8,0.001,799.5
379.6,0.001,799.5
382.5,0.001,799.5
385.4,0.001,799.5
388.3,0.001,799.5
391.1,0.001,799.4
394,0.001,799.4
396.9,0.001,799.4
399.8,0.001,799.7
402.6,0.001,799.5
405.5,0.001,799.4
408.4,0.001,799.5
411.3,0.001,799.5
414.1,0.001,799.4
417,0.001,799.5
419.9,0.001,799.5
422.8,0.001,799.5
425.6,0.001,799.6
428.5,0.001,799.6
431.4,0.001,799.4
434.3,0.001,799.4
437.2,0.001,799.6
440,0.001,799.4
442.9,0.001,799.5
445.8,0.001,799.3
448.7,0.001,799.5
451.5,0.001,799.4
454.4,0.001,799.4
457.3,0.001,799.5
460.2,0.001,799.5
463,0.001,799.6
465.9,0.001,799.5
468.8,0.001,799.2
471.7,0.001,799.4
474.5,0.001,799.6
477.4,0.001,799.5
480.3,0.001,799.6
483.2,0.001,799.5
486,0.001,799.5
488.9,0.001,799.4
491.8,0.001,799.7
494.7,0.001,799.4
497.5,0.001,799.6
500.4,0.001,799.6
503.3,0.001,799.4
506.2,0.001,799.4
509.1,0.001,799.6
511.9,0.001,799.4
514.8,0.001,799.4
517.7,0.001,799.6
520.6,0.001,799.4
523.4,0.001,799.6
526.3,0.001,799.5
529.2,0.001,799.7
532.1,0.001,799.4
534.9,0.001,799.5
537.8,0.001,799.5
540.7,0.001,799.5
543.6,0.001,799.5
546.4,0.001,799.5
549.3,0.001,799.6
552.2,0.001,799.5
555.1,0.001,799.5
557.9,0.001,799.5
560.8,0.001,799.4
563.7,0.001,799.6
566.6,0.001,799.4
569.4,0.001,799.4
572.3,0.001,799.4
575.2,0.001,799.5
578.1,0.001,799.4
581,0.001,799.6
583.8,0.001,799.5
586.7,0.001,799.4
589.6,0.001,799.6
592.5,0.001,799.5
595.3,0.001,799.3
598.2,0.001,799.6
601.1,0.001,799.7
604,0.001,799.5
606.8,0.001,799.5
609.7,0.001,799.4
612.6,0.001,799.4
615.5,0.001,799.5
618.3,0.001,799.5
621.2,0.001,799.6
624.1,0.001,799.5
627,0.001,799.4
629.8,0.001,799.5
632.7,0.001,799.3
635.6,0.001,799.5
638.5,0.001,799.5
641.3,0.001,799.4
644.2,0.001,799.4
647.1,0.001,799.6
650,0.001,799.4
652.9,0.001,799.5
655.7,0.001,799.4
658.6,0.001,799.4
661.5,0.001,799.5
664.4,0.001,799.4
667.2,0.001,799.6
