elapsed_s,power_mA,temperature_C
0,0.001,799.5
0.5,0.001,799.4
1,0.001,799.4
1.5,0.001,799.5
2,0.001,799.4
2.5,0.001,799.4
3,0.001,799.6
3.5,0.001,799.4
4,0.001,799.4
4.5,0.001,799.5
5,0.001,799.4
5.5,0.0109,799.5
6,0.0208,799.3
6.5,0.0307,799.4
7,0.0406,799.4
7.5,0.0505,799.4
8,0.0604,799.6
8.5,0.0703,799.3
9,0.0802,799.6
9.5,0.0901,799.6
10,0.1,799.4
10.5,0.1001,799.3
11,0.1003,799.5
11.5,0.1004,799.4
12,0.1006,799.6
12.5,0.1007,799.5
13,0.1009,799.5
13.5,0.101,799.5
14,0.1012,799.7
14.5,0.1013,799.4
15,0.1015,799.4
15.5,0.1016,799.6
16,0.1017,799.4
16.5,0.1019,799.5
17,0.102,799.6
17.5,0.1022,799.5
18,0.1023,799.5
18.5,0.1025,800.2
19,0.1026,799.4
19.5,0.1028,799.4
20,0.1029,799.5
20.5,0.1031,799.6
21,0.1032,799.5
21.5,0.1034,799
22,0.1035,799.5
22.5,0.1036,799.4
23,0.1038,799.3
23.5,0.1039,799.5
24,0.1041,799.4
24.5,0.1042,799.5
25,0.1044,799.5
25.5,0.1045,799.6
26,0.1047,799.6
26.5,0.1048,799.4
27,0.105,799.6
27.5,0.1051,799.6
28,0.1052,799.4
28.5,0.1054,799.4
29,0.1055,799.4
29.5,0.1057,799.5
30,0.1058,799.6
30.5,0.106,799.4
31,0.1061,799.5
31.5,0.1063,799.6
32,0.1064,799.5
32.5,0.1066,799.5
33,0.1067,799.4
33.5,0.1069,799.5
34,0.107,799.5
34.5,0.1071,799.4
35,0.1073,799.5
35.5,0.1074,799.4
36,0.1076,799.4
36.5,0.1077,799.5
37,0.1079,799.6
37.5,0.108,802.5
38,0.1082,799.5
38.5,0.1083,799.5
39,0.1085,799.3
39.5,0.1086,799.5
40,0.1087,799.1
40.5,0.1089,799.4
41,0.109,799.3
41.5,0.1092,799.3
42,0.1093,799.4
42.5,0.1095,799.4
43,0.1096,799.5
43.5,0.1098,799.5
44,0.1099,799.9
44.5,0.1101,799.5
45,0.1102,799.4
45.5,0.1104,799.5
46,0.1105,799.5
46.5,0.1106,799.5
47,0.1108,799.4
47.5,0.1109,799.5
48,0.1111,799.4
48.5,0.1112,799.4
49,0.1114,799.8
49.5,0.1115,799.5
50,0.1117,799.3
50.5,0.1118,799.4
51,0.112,799.5
51.5,0.1121,799.4
52,0.1123,799.4
52.5,0.1124,799.4
53,0.1125,799.5
53.5,0.1127,799.4
54,0.1128,799.5
54.5,0.113,799.5
55,0.1131,799.4
55.5,0.1133,799.4
56,0.1134,799.6
56.5,0.1136,799.6
57,0.1137,799.5
57.5,0.1139,799.5
58,0.114,799
58.5,0.1141,799.4
59,0.1143,799.5
59.5,0.1144,799.7
60,0.1146,799.4
60.5,0.1147,799.4
61,0.1149,799.5
61.5,0.115,799.4
62,0.1152,799.3
62.5,0.1153,799.4
63,0.1155,799.4
63.5,0.1156,799.5
64,0.1158,799.4
64.5,0.1159,799.6
65,0.116,799.4
65.5,0.1162,799.5
66,0.1163,799.5
66.5,0.1165,799.5
67,0.1166,800.7
67.5,0.1168,799.5
68,0.1169,799.4
68.5,0.1171,799.4
69,0.1172,799.6
69.5,0.1174,799.5
70,0.1175,799.3
70.5,0.1176,799.4
71,0.1178,799.4
71.5,0.1179,799.5
72,0.1181,799.6
72.5,0.1182,799.4
73,0.1184,799.5
73.5,0.1185,799.6
74,0.1187,799.4
74.5,0.1188,799.4
75,0.119,799.5
75.5,0.1191,799.4
76,0.1192,799.4
76.5,0.1194,799.4
77,0.1195,799.4
77.5,0.1197,799.4
78,0.1198,799.5
78.5,0.12,799.4
79,0.1201,799.5
79.5,0.1203,799.6
80,0.1204,799.6
80.5,0.1206,799.5
81,0.1207,799.4
81.5,0.1209,799.5
82,0.121,799.4
82.5,0.1211,799.4
83,0.1213,799.4
83.5,0.1214,799.5
84,0.1216,799
84.5,0.1217,799.5
85,0.1219,799.7
85.5,0.122,799.4
86,0.1222,799.6
86.5,0.1223,799.5
87,0.1225,799.6
87.5,0.1226,799.5
88,0.1227,799.4
88.5,0.1229,799.5
89,0.123,799.4
89.5,0.1232,799.4
90,0.1233,799.5
90.5,0.1235,799.6
91,0.1236,799.4
91.5,0.1238,799.4
92,0.1239,799.4
92.5,0.1241,799.4
93,0.1242,799.5
93.5,0.1244,799.5
94,0.1245,799.4
94.5,0.1246,799.4
95,0.1248,799.5
95.5,0.1249,799.6
96,0.1251,799.3
96.5,0.1252,799.4
97,0.1254,799.8
97.5,0.1255,799.4
98,0.1257,799.4
98.5,0.1258,799.5
99,0.126,799
99.5,0.1261,799.5
100,0.1263,799.4
100.5,0.1264,799.5
101,0.1265,799.4
101.5,0.1267,799.5
102,0.1268,799.4
102.5,0.127,799.4
103,0.1271,799.5
103.5,0.1273,799.4
104,0.1274,799.4
104.5,0.1276,799.3
105,0.1277,799.5
105.5,0.1279,799.5
106,0.128,799.4
106.5,0.1281,799.4
107,0.1283,799.4
107.5,0.1284,799.4
108,0.1286,799.4
108.5,0.1287,799.4
109,0.1289,799.4
109.5,0.129,799.6
110,0.1292,799.5
110.5,0.1293,799.4
111,0.1295,799.4
111.5,0.1296,799.4
112,0.1298,800.7
112.5,0.1299,799.5
113,0.13,799.7
113.5,0.1302,799.3
114,0.1303,799.5
114.5,0.1305,799.5
115,0.1306,801.6
115.5,0.1308,799.4
116,0.1309,799.6
116.5,0.1311,799.8
117,0.1312,799.4
117.5,0.1314,799.4
118,0.1315,799.4
118.5,0.1316,799.4
119,0.1318,799.6
119.5,0.1319,799.4
120,0.1321,799.4
120.5,0.1322,799.4
121,0.1324,799.4
121.5,0.1325,799.5
122,0.1327,799.4
122.5,0.1328,799.6
123,0.133,799.6
123.5,0.1331,799.5
124,0.1333,799.5
124.5,0.1334,799.4
125,0.1335,799.4
125.5,0.1337,799.4
126,0.1338,799.5
126.5,0.134,799.5
127,0.1341,799.5
127.5,0.1343,799.6
128,0.1344,799.5
128.5,0.1346,799.6
129,0.1347,799.6
129.5,0.1349,799.4
130,0.135,799.5
130.5,0.1351,799.5
131,0.1353,799.3
131.5,0.1354,799.7
132,0.1356,799.5
132.5,0.1357,800.7
133,0.1359,799.4
133.5,0.136,799.5
134,0.1362,799.5
134.5,0.1363,799.4
135,0.1365,799.5
135.5,0.1366,799.4
136,0.1368,799.6
136.5,0.1369,799.6
137,0.137,799.4
137.5,0.1372,799.5
138,0.1373,799.4
138.5,0.1375,799.8
139,0.1376,799.5
139.5,0.1378,799.4
140,0.1379,799.5
140.5,0.1381,799.6
141,0.1382,799.4
141.5,0.1384,799
142,0.1385,799.4
142.5,0.1386,799.4
143,0.1388,799.5
143.5,0.1389,799.4
144,0.1391,799.7
144.5,0.1392,799.5
145,0.1394,799.5
145.5,0.1395,799.4
146,0.1397,799.7
146.5,0.1398,799.4
147,0.14,799.7
147.5,0.1401,799.5
148,0.1403,799.5
148.5,0.1404,799.4
149,0.1405,799.6
149.5,0.1407,799
150,0.1408,799.7
150.5,0.141,799.5
151,0.1411,799.7
151.5,0.1413,799.4
152,0.1414,799.5
152.5,0.1416,799.4
153,0.1417,799.5
153.5,0.1419,799.4
154,0.142,799.3
154.5,0.1421,799.4
155,0.1423,799.4
155.5,0.1424,799.4
156,0.1426,799.5
156.5,0.1427,799.4
157,0.1429,799.4
157.5,0.143,799.6
158,0.1432,799.5
158.5,0.1433,799.4
159,0.1435,799.6
159.5,0.1436,799.4
160,0.1437,799.6
160.5,0.1439,799.4
161,0.144,799.5
161.5,0.1442,799.4
162,0.1443,799.4
162.5,0.1445,799.5
163,0.1446,799.5
163.5,0.1448,799.6
164,0.1449,799.4
164.5,0.1451,799.5
165,0.1452,799.6
165.5,0.1454,799.6
166,0.1455,799.5
166.5,0.1456,799.4
167,0.1458,799.7
167.5,0.1459,799.4
168,0.1461,799.4
168.5,0.1462,799.4
169,0.1464,799.5
169.5,0.1465,799.6
170,0.1467,799.4
170.5,0.1468,799.8
171,0.147,799.5
171.5,0.1471,799.4
172,0.1472,799.4
172.5,0.1474,799.3
173,0.1475,799.5
173.5,0.1477,799.5
174,0.1478,799.3
174.5,0.148,799.8
175,0.1481,799
175.5,0.1483,799.3
176,0.1484,799.4
176.5,0.1486,799
177,0.1487,799.4
177.5,0.1489,799.4
178,0.149,799.4
178.5,0.1491,799.4
179,0.1493,799.6
179.5,0.1494,799.4
180,0.1496,799.5
180.5,0.1497,799.6
181,0.1499,799.6
181.5,0.15,799.4
182,0.1502,799.5
182.5,0.1503,799.4
183,0.1505,799.5
183.5,0.1506,799.5
184,0.1507,799.3
184.5,0.1509,799.4
185,0.151,799.4
185.5,0.1512,799.4
186,0.1513,799.4
186.5,0.1515,799.4
187,0.1516,799.5
187.5,0.1518,799.5
188,0.1519,799.4
188.5,0.1521,799.4
189,0.1522,799.4
189.5,0.1524,799.4
190,0.1525,799.5
190.5,0.1526,799.7
191,0.1528,799.7
191.5,0.1529,799.4
192,0.1531,799.5
192.5,0.1532,799.3
193,0.1534,799.5
193.5,0.1535,799.4
194,0.1537,799.6
194.5,0.1538,799.4
195,0.154,799.4
195.5,0.1541,799.5
196,0.1542,799.5
196.5,0.1544,799.4
197,0.1545,799.3
197.5,0.1547,799.5
198,0.1548,799.4
198.5,0.155,799.5
199,0.1551,799.5
199.5,0.1553,799.4
200,0.1554,799.7
200.5,0.1556,799.5
201,0.1557,799.6
201.5,0.1559,799.4
202,0.156,799.5
202.5,0.1561,799.5
203,0.1563,799.5
203.5,0.1564,799
204,0.1566,799.4
204.5,0.1567,799.7
205,0.1569,799.6
205.5,0.157,799.6
206,0.1572,799.4
206.5,0.1573,799.4
207,0.1575,799.4
207.5,0.1576,799.4
208,0.1578,799.7
208.5,0.1579,799.4
209,0.158,799.7
209.5,0.1582,799.5
210,0.1583,799.6
210.5,0.1585,799.5
211,0.1586,799.4
211.5,0.1588,799.3
212,0.1589,799.7
212.5,0.1591,799.3
213,0.1592,799
213.5,0.1594,799.5
214,0.1595,799.8
214.5,0.1596,799.4
215,0.1598,799.4
215.5,0.1599,799.6
216,0.1601,799.7
216.5,0.1602,799.3
217,0.1604,799
217.5,0.1605,799.4
218,0.1607,799.6
218.5,0.1608,799.6
219,0.161,799.7
219.5,0.1611,799.7
220,0.1613,799.4
220.5,0.1614,799.4
221,0.1615,799
221.5,0.1617,799.4
222,0.1618,799.4
222.5,0.162,799.4
223,0.1621,799.5
223.5,0.1623,799.6
224,0.1624,799.6
224.5,0.1626,799.7
225,0.1627,799.5
225.5,0.1629,799.5
226,0.163,799
226.5,0.1631,799.5
227,0.1633,799.7
227.5,0.1634,799.4
228,0.1636,799.5
228.5,0.1637,799.4
229,0.1639,799.6
229.5,0.164,799.4
230,0.1642,799
230.5,0.1643,799.7
231,0.1645,799.5
231.5,0.1646,799.6
232,0.1648,799.5
232.5,0.1649,799.4
233,0.165,799.4
233.5,0.1652,800.2
234,0.1653,799.4
234.5,0.1655,799.5
235,0.1656,799.7
235.5,0.1658,799.4
236,0.1659,799.4
236.5,0.1661,799.6
237,0.1662,799.4
237.5,0.1664,799.4
238,0.1665,799.4
238.5,0.1666,799.3
239,0.1668,799.4
239.5,0.1669,799.6
240,0.1671,799.6
240.5,0.1672,799.4
241,0.1674,799.4
241.5,0.1675,799.4
242,0.1677,799.4
242.5,0.1678,799.4
243,0.168,799.5
243.5,0.1681,799.5
244,0.1683,799.6
244.5,0.1684,799.6
245,0.1685,799.5
245.5,0.1687,799.4
246,0.1688,799.6
246.5,0.169,799.6
247,0.1691,799.5
247.5,0.1693,799
248,0.1694,799.4
248.5,0.1696,799.5
249,0.1697,799.5
249.5,0.1699,799.6
250,0.17,799.6
250.5,0.1701,799.5
251,0.1703,799.7
251.5,0.1704,799.5
252,0.1706,799
252.5,0.1707,800.8
253,0.1709,800
253.5,0.171,799
254,0.1712,799.5
254.5,0.1713,799.5
255,0.1715,799.5
255.5,0.1716,799.4
256,0.1718,799.5
256.5,0.1719,799.2
257,0.172,799.2
257.5,0.1722,799.5
258,0.1723,799.7
258.5,0.1725,799.4
259,0.1726,800
259.5,0.1728,799.8
260,0.1729,799.6
260.5,0.1731,799.4
261,0.1732,799.4
261.5,0.1734,799.5
262,0.1735,799.4
262.5,0.1736,799.5
263,0.1738,799.5
263.5,0.1739,799.7
264,0.1741,799.5
264.5,0.1742,799.4
265,0.1744,799.5
265.5,0.1745,799.4
266,0.1747,799.5
266.5,0.1748,799.4
267,0.175,799.6
267.5,0.1751,799.5
268,0.1752,799.5
268.5,0.1754,799.5
269,0.1755,799.4
269.5,0.1757,799.5
270,0.1758,799.4
270.5,0.176,799.4
271,0.1761,799.5
271.5,0.1763,799.3
272,0.1764,799.5
272.5,0.1766,799.5
273,0.1767,799.4
273.5,0.1769,799.4
274,0.177,799.4
274.5,0.1771,799.4
275,0.1773,799.5
275.5,0.1774,799.5
276,0.1776,799.5
276.5,0.1777,799.4
277,0.1779,799.4
277.5,0.178,799.5
278,0.1782,799.3
278.5,0.1783,799.5
279,0.1785,799.6
279.5,0.1786,799.6
280,0.1787,799.6
280.5,0.1789,799
281,0.179,799.5
281.5,0.1792,799.4
282,0.1793,799.6
282.5,0.1795,799.6
283,0.1796,799.4
283.5,0.1798,800.1
284,0.1799,799.4
284.5,0.1801,799.4
285,0.1802,799.4
285.5,0.1804,799.3
286,0.1805,799.4
286.5,0.1806,799.4
287,0.1808,799.3
287.5,0.1809,799.4
288,0.1811,799.2
288.5,0.1812,799.4
289,0.1814,801.2
289.5,0.1815,799.6
290,0.1817,799.3
290.5,0.1818,799.6
291,0.182,799.4
291.5,0.1821,799.5
292,0.1822,799.5
292.5,0.1824,799.6
293,0.1825,799.5
293.5,0.1827,799.7
294,0.1828,799.5
294.5,0.183,799.7
295,0.1831,799.5
295.5,0.1833,802.5
296,0.1834,799.5
296.5,0.1836,799.1
297,0.1837,799.5
297.5,0.1839,799.5
298,0.184,799.4
298.5,0.1841,799.5
299,0.1843,799.4
299.5,0.1844,799.4
300,0.1846,799.3
300.5,0.1847,799.4
301,0.1849,799.5
301.5,0.185,799.4
302,0.1852,799.2
302.5,0.1853,799.4
303,0.1855,799.5
303.5,0.1856,799.5
304,0.1857,799.5
304.5,0.1859,799.6
305,0.186,799.5
305.5,0.1862,799.2
306,0.1863,799.4
306.5,0.1865,799.4
307,0.1866,799.4
307.5,0.1868,799.4
308,0.1869,799.9
308.5,0.1871,799.5
309,0.1872,799.4
309.5,0.1874,800.5
310,0.1875,799.4
310.5,0.1876,799.4
311,0.1878,799.7
311.5,0.1879,799.5
312,0.1881,799.7
312.5,0.1882,799.4
313,0.1884,799.5
313.5,0.1885,799.6
314,0.1887,799.4
314.5,0.1888,799.6
315,0.189,799.7
