elapsed_s,power_mA,temperature_C
0,0.001,799.4
0.5,0.001,799.6
1,0.001,799.6
1.5,0.001,799.5
2,0.001,799.6
2.5,0.001,799.5
3,0.001,799.5
3.5,0.001,799.5
4,0.001,799.4
4.5,0.001,799.8
5,0.001,799.8
5.5,0.0109,799.5
6,0.0208,799.6
6.5,0.0307,799.5
7,0.0406,799.6
7.5,0.0505,799.6
8,0.0604,799.5
8.5,0.0703,799.7
9,0.0802,799.6
9.5,0.0901,799.5
10,0.1,799.6
10.5,0.1001,799.4
11,0.1003,799.4
11.5,0.1004,799.5
12,0.1006,799.5
12.5,0.1007,799.5
13,0.1009,799.7
13.5,0.101,799.5
14,0.1012,799.6
14.5,0.1013,799.5
15,0.1015,799.5
15.5,0.1016,799.6
16,0.1017,799.6
16.5,0.1019,799.6
17,0.102,799.5
17.5,0.1022,799
18,0.1023,799.5
18.5,0.1025,799.7
19,0.1026,799.6
19.5,0.1028,799.5
20,0.1029,799.5
20.5,0.1031,799.5
21,0.1032,801.2
21.5,0.1034,799.4
22,0.1035,799.6
22.5,0.1036,799.6
23,0.1038,799.4
23.5,0.1039,799.5
24,0.1041,799.7
24.5,0.1042,799.6
25,0.1044,799.4
25.5,0.1045,799.5
26,0.1047,799.6
26.5,0.1048,799.6
27,0.105,799.7
27.5,0.1051,799.5
28,0.1052,799.4
28.5,0.1054,799.5
29,0.1055,799.6
29.5,0.1057,799.4
30,0.1058,799.6
30.5,0.106,799.4
31,0.1061,799.4
31.5,0.1063,799.5
32,0.1064,799.8
32.5,0.1066,799.7
33,0.1067,799.5
33.5,0.1069,799.7
34,0.107,799.8
34.5,0.1071,799.4
35,0.1073,799.6
35.5,0.1074,799
36,0.1076,799.7
36.5,0.1077,799.6
37,0.1079,799.7
37.5,0.108,799
38,0.1082,801.5
38.5,0.1083,799.5
39,0.1085,799
39.5,0.1086,799.5
40,0.1087,799.3
40.5,0.1089,799.5
41,0.109,800.5
41.5,0.1092,801.6
42,0.1093,799.3
42.5,0.1095,799.5
43,0.1096,799.6
43.5,0.1098,799.4
44,0.1099,799.6
44.5,0.1101,799.5
45,0.1102,799.5
45.5,0.1104,799.6
46,0.1105,799.6
46.5,0.1106,799.5
47,0.1108,799.4
47.5,0.1109,799.5
48,0.1111,799.7
48.5,0.1112,799.4
49,0.1114,801.1
49.5,0.1115,799
50,0.1117,799.5
50.5,0.1118,799.5
51,0.112,799.4
51.5,0.1121,799.9
52,0.1123,799.5
52.5,0.1124,800.5
53,0.1125,799.5
53.5,0.1127,799
54,0.1128,799.4
54.5,0.113,799.5
55,0.1131,799.8
55.5,0.1133,799.6
56,0.1134,799.5
56.5,0.1136,799.5
57,0.1137,799.4
57.5,0.1139,799.2
