elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.4,0.02251
1,0.01,799.4,0.02251
2,0.01,799.4,0.02251
3,0.01,799.8,0.02251
4,0.01,799.6,0.02251
5,0.01,799.6,0.03298
6,0.028,799.5,0.03298
7,0.046,799.4,0.02251
8,0.064,799.5,0.02251
9,0.082,799.4,0.03298
10,0.1,799.4,0.03298
11,0.1012,799.5,0.01204
12,0.1024,800.4,0.03298
13,0.1037,799.4,0.02251
14,0.1049,799.5,0.02251
15,0.1061,799.4,0.03298
16,0.1073,799.6,21.38
17,0.1086,799.6,21.38
18,0.1098,799.6,21.38
19,0.111,799.5,21.38
20,0.1122,799.4,21.38
21,0.1134,799.4,21.38
22,0.1147,799.4,21.38
23,0.1159,799.4,21.38
24,0.1171,799.4,21.38
25,0.1183,799.7,21.38
26,0.1196,799.4,21.38
27,0.1208,799.5,21.38
28,0.122,799.4,21.38
29,0.1232,799.3,21.38
30,0.1244,799.5,21.38
31,0.1257,799.4,21.38
32,0.1269,799.6,21.38
33,0.1281,799.4,21.38
34,0.1293,799.4,21.38
35,0.1306,799.4,21.38
36,0.1318,799.7,21.38
37,0.133,799.5,21.38
38,0.1342,799.4,21.38
39,0.1354,799.5,21.38
40,0.1367,799.6,21.38
41,0.1379,799.5,21.38
42,0.1391,799.6,21.38
43,0.1403,799.4,21.38
44,0.1416,799.5,21.38
45,0.1428,799.4,21.38
46,0.144,799.5,21.38
47,0.1452,799.5,21.38
48,0.1464,799.4,21.38
49,0.1477,799.6,21.38
50,0.1489,799.5,21.38
51,0.1501,799.5,21.38
52,0.1513,801.5,21.38
53,0.1526,799.4,21.38
54,0.1538,800.6,21.38
55,0.155,799.5,21.38
56,0.1562,799.4,21.38
57,0.1574,799.4,21.38
58,0.1587,799.4,21.38
59,0.1599,799.4,21.38
60,0.1611,799.6,21.38
61,0.1623,799,21.38
62,0.1636,800.4,21.38
63,0.1648,799.3,21.38
64,0.166,799.4,21.38
65,0.1672,799.4,21.38
66,0.1684,799.2,21.38
67,0.1697,799.6,21.38
68,0.1709,799.5,21.38
69,0.1721,799.4,21.38
70,0.1733,799.5,21.38
71,0.1746,799.8,21.38
72,0.1758,799.3,21.38
73,0.177,799.4,21.38
74,0.1782,799.7,21.38
75,0.1794,799.2,21.38
76,0.1807,799.4,21.38
77,0.1819,801.6,21.38
78,0.1831,799.4,21.38
79,0.1843,799.4,21.38
80,0.1856,799.5,21.38
81,0.1868,799.5,21.38
82,0.188,799.4,21.38
83,0.1892,799.5,21.38
84,0.1904,799.6,21.38
85,0.1917,799.5,21.38
86,0.1929,799.4,21.38
87,0.1941,799,21.38
88,0.1953,799.4,21.38
89,0.1966,800,21.38
90,0.1978,799.5,21.38
91,0.199,799.3,21.38
92,0.2002,799.9,21.38
93,0.2014,799.4,21.38
94,0.2027,799.5,21.38
95,0.2039,799.6,21.38
96,0.2051,799.4,21.38
97,0.2063,799.3,21.38
98,0.2076,800.9,21.38
99,0.2088,799.4,21.38
100,0.21,799.4,21.38
101,0.2112,799,21.38
102,0.2124,799.5,21.38
103,0.2137,799.5,21.38
104,0.2149,799.5,21.38
105,0.2161,799.1,21.38
106,0.2173,799,21.38
107,0.2186,799.5,21.38
108,0.2198,799.6,21.38
109,0.221,799.7,21.38
110,0.2222,799.5,21.38
