elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.02251
1,0.01,799.4,0.03298
2,0.01,799.5,0.03298
3,0.01,799.4,0.02251
4,0.01,799.7,0.03298
5,0.01,799.4,0.03298
6,0.01,799.6,0.02251
7,0.01,799.4,8.774
8,0.01,799.5,21.38
9,0.01,799.4,21.38
10,0.01,799.4,21.38
11,0.01,799.4,21.38
12,0.01,799.5,21.38
13,0.01,799.5,21.38
14,0.01,799.5,21.38
15,0.01,799.8,15.38
16,0.01,799.4,5.979
17,0.01,799.5,19.42
18,0.01,799.4,21.38
19,0.01,799.5,19.92
20,0.01,799.4,19.46
21,0.01,799.4,19.75
22,0.01,799.4,19.87
23,0.01,799.5,19.85
24,0.01,799.4,19.86
25,0.01,799.4,19.87
26,0.028,799.5,19.89
27,0.046,799.4,19.9
28,0.064,799.6,19.88
29,0.082,799.4,19.89
30,0.1,799.5,19.9
31,0.1012,799.5,19.91
32,0.1024,799.5,19.94
33,0.1037,799.6,19.93
34,0.1049,799.5,19.94
35,0.1061,799.4,19.94
36,0.1073,799.5,19.96
37,0.1086,799.4,19.97
38,0.1098,799.4,19.99
39,0.111,799.5,19.99
40,0.1122,799.7,19.99
41,0.1134,799.9,19.99
42,0.1147,799.5,20
43,0.1159,799.5,19.99
44,0.1171,799.5,20
45,0.1183,799.6,20.01
46,0.1196,799.5,20
47,0.1208,799.5,20.01
48,0.122,799.6,20.01
49,0.1232,799.5,20
50,0.1244,799.4,20.02
51,0.1257,799.4,19.97
52,0.1269,799,20
53,0.1281,799.4,20.02
54,0.1293,799,20.01
55,0.1306,799.4,19.99
56,0.1318,799.4,20.03
57,0.133,799.4,20
58,0.1342,799.4,20
59,0.1354,799.5,20.01
60,0.1367,799.4,20.01
61,0.1379,799.4,20.01
62,0.1391,799.5,20
63,0.1403,799.6,20.02
64,0.1416,799.6,20.02
65,0.1428,799.3,20.03
66,0.144,799.6,20.03
67,0.1452,799.4,20.01
68,0.1464,799.4,20.02
69,0.1477,799.5,20
70,0.1489,799.5,20.02
71,0.1501,799.6,19.93
72,0.1513,799.5,20.12
73,0.1526,799.4,20.03
74,0.1538,799.8,19.92
75,0.155,799.5,20.03
76,0.1562,799.4,20.01
77,0.1574,799.4,20.02
78,0.1587,799.5,20.03
79,0.1599,799.4,20.01
80,0.1611,800.6,20.02
81,0.1623,799.4,20.04
82,0.1636,799.3,20.01
83,0.1648,799.7,20.03
84,0.166,799.4,20.04
85,0.1672,799.5,20.01
86,0.1684,799.4,20.02
87,0.1697,799.5,20.01
88,0.1709,799.4,19.92
89,0.1721,799,20.19
90,0.1733,799.4,20.02
91,0.1746,799.4,19.94
92,0.1758,799.5,20.11
93,0.177,799.5,19.89
94,0.1782,799,20.28
95,0.1794,799.9,19.87
96,0.1807,799.5,20.07
97,0.1819,799,20.03
98,0.1831,799.6,19.91
99,0.1843,799.3,19.99
100,0.1856,799.4,20.08
101,0.1868,799.5,20.02
102,0.188,799.5,20.03
103,0.1892,799.6,20.02
104,0.1904,799.4,20.02
105,0.1917,799.5,20.02
106,0.1929,799.5,20.02
107,0.1941,799,20.01
108,0.1953,800.3,20.02
109,0.1966,799.5,20.03
110,0.1978,799.4,20.01
111,0.199,801,20.02
112,0.2002,799.5,20.04
113,0.2014,799.4,20.01
114,0.2027,799.4,20.04
115,0.2039,799.6,20.03
116,0.2051,799.7,20.06
117,0.2063,799,20.02
118,0.2076,800.1,20.03
119,0.2088,799.8,20.03
120,0.21,799.4,20.06
121,0.2112,799.4,20.04
122,0.2124,799.7,20
123,0.2137,799.6,20.04
124,0.2149,799.5,20.04
125,0.2161,799.5,20.14
126,0.2173,799.7,19.9
127,0.2186,799.4,20.04
128,0.2198,799.4,20.11
129,0.221,799.5,19.99
130,0.2222,801.3,20.4
131,0.2234,800.1,20.14
132,0.2247,799.9,19.99
133,0.2259,799.6,20.01
134,0.2271,799.6,20.03
135,0.2283,799.7,20.05
136,0.2296,799,19.86
137,0.2308,799.4,20.04
138,0.232,800.1,19.95
139,0.2332,800.3,20.02
140,0.2344,799.3,20.04
141,0.2357,799.4,19.87
142,0.2369,799.4,20.07
143,0.2381,799.4,20.06
144,0.2393,799.5,20.04
145,0.2406,799.5,20.01
146,0.2418,800.8,20.1
147,0.243,799.4,20.02
148,0.2442,799.4,20
149,0.2454,799.1,20.03
150,0.2467,799.4,19.99
151,0.2479,799.7,20.13
152,0.2491,799,20
153,0.2503,799.4,20.03
154,0.2516,799.6,20.13
155,0.2528,799.5,19.96
156,0.254,800,19.87
157,0.2552,799.4,20.04
158,0.2564,799.2,20.03
159,0.2577,799.4,20.06
160,0.2589,800.2,20.03
161,0.2601,799.4,20.02
162,0.2613,799.5,20.03
163,0.2626,799.5,20.03
164,0.2638,799.5,19.99
165,0.265,799.7,19.87
166,0.2662,800.2,20.09
167,0.2674,799.5,20.09
168,0.2687,799.7,19.95
169,0.2699,799.3,19.99
170,0.2711,801.1,20
171,0.2723,799,19.95
172,0.2736,799.4,19.87
173,0.2748,800.1,20.12
174,0.276,800.4,20.02
175,0.2772,799.5,20.04
176,0.2784,799.6,20.03
177,0.2797,799.4,20.01
178,0.2809,799.5,20.23
179,0.2821,799.4,20.09
180,0.2833,799.5,20
181,0.2846,799,20.03
182,0.2858,799.2,20.02
183,0.287,799.4,20.93
184,0.2882,799.4,19.49
185,0.2894,799,19.97
186,0.2907,799.5,20.05
187,0.2919,799.4,20.04
188,0.2931,799.5,19.91
189,0.2943,799.5,19.97
190,0.2956,799.5,20
191,0.2968,799.4,19.99
192,0.298,799.4,20.14
193,0.2992,799.4,19.5
194,0.3004,799.4,20.49
195,0.3017,799.3,20.07
196,0.3029,799.5,19.91
197,0.3041,799.5,19.97
198,0.3053,799.5,19.81
199,0.3066,799.6,19.92
200,0.3078,800.8,20.06
201,0.309,799.4,19.97
202,0.3102,799.5,19.81
203,0.3114,799.3,19.93
204,0.3127,799.5,20.17
205,0.3139,799.5,19.59
206,0.3151,799.2,20.39
207,0.3163,799.6,20.35
208,0.3176,799.5,19.85
209,0.3188,799.6,20.04
210,0.32,799.6,20.06
211,0.3212,799.4,20
212,0.3224,800.8,19.96
213,0.3237,799.2,20.25
214,0.3249,801.9,20.13
