elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.6,0.02251
5,0.01375,799.5,0.03298
10,0.0175,799.4,18.68
15,0.02125,799.5,19.64
20,0.025,799.3,19.79
25,0.02875,799.7,19.9
30,0.0325,799.5,0.03298
35,0.03625,799.5,0.03298
40,0.04,799.4,0.02251
45,0.04375,799.5,0.03298
50,0.0475,799.5,0.02251
55,0.05125,799.4,0.03298
60,0.055,799.4,0.02251
65,0.05875,799.5,0.02251
70,0.0625,799.5,0.02251
75,0.06625,799.4,0.02251
80,0.07,799.6,0.02251
85,0.07375,799.5,0.02251
90,0.0775,799.5,0.02251
95,0.08125,799.6,0.03298
100,0.085,799,0.02251
105,0.08875,799.5,0.03298
110,0.0925,799.4,0.02251
115,0.09625,799.5,0.02251
120,0.1,799.4,0.02251
125,0.1079,799,0.02251
130,0.1158,799.4,0.03298
135,0.1237,799.6,0.02251
140,0.1317,799.5,0.02251
145,0.1396,799.7,0.02251
150,0.1475,799.5,0.02251
155,0.1554,799.5,0.02251
160,0.1633,799.5,0.02251
165,0.1713,799.5,0.02251
170,0.1792,799.5,0.02251
175,0.1871,799.7,0.02251
180,0.195,799,0.02251
185,0.2029,799.7,0.02251
190,0.2108,799.4,0.01204
195,0.2188,800,0.02251
200,0.2267,799.8,0.02251
205,0.2346,799.6,0.03298
210,0.2425,799.5,0.03298
215,0.2504,799.5,0.03298
220,0.2583,799.4,0.03298
225,0.2662,799,0.03298
230,0.2742,799.8,0.03298
235,0.2821,799.8,0.01204
240,0.29,799.6,0.02251
245,0.2979,799.3,0.01204
250,0.3058,799.4,0.03298
255,0.3137,799.4,0.02251
260,0.3217,799.6,0.02251
265,0.3296,799.4,0.02251
270,0.3375,799,0.03298
275,0.3454,799.4,0.02251
280,0.3533,799.4,0.03298
285,0.3613,799.4,0.02251
290,0.3692,799.5,0.02251
295,0.3771,799.5,0.02251
300,0.385,799.4,0.03298
305,0.3929,799.6,0.02251
310,0.4008,799.6,0.02251
315,0.4088,799.6,0.02251
320,0.4167,799.5,0.02251
325,0.4246,800,0.02251
330,0.4325,799.7,0.01204
335,0.4404,799.6,0.02251
340,0.4483,799,0.03298
345,0.4562,799,0.02251
350,0.4642,800,0.03298
355,0.4721,799.4,0.02251
360,0.48,800.8,0.02251
365,0.4879,807.2,0.02251
370,0.4958,819.3,0.02251
375,0.5038,821.9,0.02251
380,0.5117,844.2,0.02251
385,0.5196,854.8,0.03298
390,0.5196,865.5,0.02251
395,0.5029,874.5,0.02251
400,0.4863,881.4,0.03298
405,0.4696,886.3,0.02251
410,0.4863,888.6,0.02251
415,0.5029,891.9,0.02251
420,0.5196,896.4,0.02251
425,0.5363,900.2,0.02251
430,0.5196,905.4,0.02251
435,0.5029,909.6,0.03298
440,0.4863,913.3,0.02251
445,0.4696,912.7,0.02251
450,0.4529,913.4,0.01204
455,0.4363,912.2,0.02251
460,0.4196,907.8,0.02251
465,0.4363,903.2,0.01204
470,0.4529,899.4,0.02251
475,0.4696,897.3,0.01204
480,0.4863,895.7,0.02251
485,0.5029,897.8,0.03298
490,0.5196,900.2,0.03298
495,0.5363,903.6,0.02251
500,0.5196,909.8,0.02251
505,0.5029,912.9,0.01204
510,0.4863,916.1,0.02251
515,0.4696,916.7,0.01204
520,0.4529,915.9,0.02251
525,0.4363,912.5,0.02251
530,0.4529,909.6,0.03298
535,0.4696,907.2,0.02251
540,0.4863,905.8,0.02251
545,0.5029,906.4,0.02251
550,0.4863,908.4,0.02251
555,0.4696,909.9,0.02251
560,0.4529,909.4,0.03298
565,0.4363,908.6,0.03298
570,0.4196,904.2,0.02251
575,0.4363,898.6,0.01204
580,0.4529,895.7,0.01204
585,0.4696,893.9,0.02251
590,0.4863,894.1,0.02251
595,0.5029,895.3,0.03298
600,0.5196,898.5,0.02251
605,0.5363,902.9,0.02251
610,0.5196,907.4,0.001575
615,0.5029,911.1,0.02251
620,0.4863,915.8,0.01204
625,0.4696,918,0.03298
630,0.4529,916.4,0.03298
635,0.4363,914.2,0.02251
640,0.4196,909.7,0.03298
645,0.4363,903.1,0.02251
650,0.4529,898.2,0.02251
655,0.4696,896.3,0.02251
660,0.4863,895.8,0.03298
665,0.5029,895.7,0.02251
670,0.5196,900.6,0.03298
675,0.5363,905.3,0.02251
680,0.5196,910,0.02251
685,0.5029,914.2,0.02251
690,0.4863,916.5,0.03298
695,0.4696,918.1,0.02251
700,0.4529,918.2,0.001575
705,0.4363,914.7,0.02251
710,0.4529,911.3,0.02251
715,0.4696,908.4,0.02251
720,0.4863,907.4,0.03298
725,0.4696,907.4,0.01204
730,0.4529,907.6,0.02251
735,0.4363,906.9,0.03298
740,0.4196,904.5,0.03298
745,0.4363,896.8,0.02251
750,0.4529,893.1,0.02251
755,0.4696,891.9,0.02251
760,0.4863,891.8,0.02251
765,0.5029,893.5,0.02251
770,0.5196,898.4,0.001575
775,0.5363,902.6,0.02251
780,0.5196,908.3,0.01204
785,0.5029,911.9,0.03298
790,0.4863,915.9,0.02251
795,0.4696,917,0.02251
800,0.4529,916,0.02251
805,0.4363,914.8,0.01204
810,0.4196,911,0.02251
815,0.4363,904,0.01204
820,0.4529,899.3,0.02251
825,0.4696,898.3,0.01204
830,0.4863,897.2,0.03298
835,0.5029,898.7,0.02251
840,0.5196,903,0.03298
845,0.5029,896.7,0.01204
850,0.5196,897.9,0.02251
855,0.5363,904.2,0.02251
860,0.5196,906.8,0.02251
865,0.5029,910.2,0.02251
870,0.4863,913.4,0.02251
875,0.4696,914,0.02251
880,0.4529,918.2,0.02251
885,0.4363,920.4,0.02251
890,0.4196,918.1,0.02251
895,0.4029,911.1,0.01204
900,0.4196,904.2,0.01204
905,0.4363,894.1,0.02251
910,0.4529,889.7,0.02251
915,0.4696,886.9,0.001575
920,0.4863,887.3,0.02251
925,0.5029,886.8,0.02251
930,0.5196,890.9,0.01204
935,0.5363,894.7,0.03298
940,0.5529,893,0.02251
945,0.5696,908.7,0.02251
950,0.5529,920.1,0.02251
955,0.5363,925.2,0.02251
960,0.5196,929.4,0.02251
965,0.5029,932.3,0.02251
970,0.4863,933.3,0.03298
975,0.4696,932.4,0.02251
980,0.4529,930.5,0.02251
985,0.4363,926.7,0.02251
990,0.4196,921.3,0.03298
995,0.4029,913.8,0.02251
1000,0.4196,903.9,0.02251
1005,0.4363,896.1,0.02251
1010,0.4529,890.4,0.02251
1015,0.4696,889.1,0.02251
1020,0.4863,890.3,0.02251
1025,0.5029,891.2,0.03298
1030,0.5196,897,0.02251
1035,0.5029,901.2,0.01204
1040,0.4863,905.9,0.02251
1045,0.4696,908.2,0.02251
1050,0.4529,909,0.02251
1055,0.4363,907.6,0.02251
1060,0.4196,904.8,0.03298
1065,0.4029,898.7,0.02251
1070,0.4196,891.1,0.001575
1075,0.4363,882.7,0.02251
1080,0.4529,881.1,0.02251
1085,0.4696,879.6,0.02251
1090,0.4863,881.4,0.02251
1095,0.4696,885,0.01204
1100,0.4529,888.1,0.02251
1105,0.4363,888.5,0.02251
1110,0.4196,887.3,0.03298
1115,0.4029,882.7,0.02251
1120,0.3862,876.3,0.03298
1125,0.4029,869.3,0.02251
1130,0.4196,863.4,0.02251
1135,0.4363,858.1,0.03298
1140,0.4529,857.4,0.001575
1145,0.4696,860.2,0.001575
1150,0.4863,863.1,0.03298
1155,0.4696,868.8,0.02251
1160,0.4529,872.9,0.02251
1165,0.4363,876.1,0.02251
1170,0.4196,875.5,0.02251
1175,0.4029,872.4,0.03298
1180,0.3862,866.8,0.02251
1185,0.4029,861.5,0.02251
1190,0.4196,855.5,0.01204
1195,0.4363,850.9,0.02251
1200,0.4529,850.7,0.02251
1205,0.4363,851.5,0.01204
1210,0.4196,855.1,0.02251
1215,0.4029,852.9,0.01204
1220,0.3862,848.3,0.02251
1225,0.4029,844.4,0.02251
1230,0.4196,840.2,0.02251
1235,0.4363,837.1,0.02251
1240,0.4529,839.5,0.03298
1245,0.4363,842.3,0.02251
1250,0.4196,845.3,0.02251
1255,0.4029,845.4,0.03298
1260,0.3862,842.2,0.03298
1265,0.3696,838.4,0.02251
1270,0.3862,834.2,0.02251
1275,0.4029,831,0.02251
1280,0.4196,827.2,0.02251
1285,0.4363,824.9,0.001575
1290,0.4529,826.9,0.02251
1295,0.4363,832.8,0.01204
1300,0.4196,836.7,0.001575
1305,0.4029,836.5,0.02251
1310,0.3862,833.5,0.02251
1315,0.3696,830.3,0.02251
1320,0.3529,826.8,0.03298
1325,0.3362,822.7,0.02251
1330,0.3529,818.4,0.02251
1335,0.3696,813.7,0.03298
1340,0.3862,811.9,0.02251
1345,0.4029,809.5,0.02251
1350,0.4196,807.9,0.01204
1355,0.4363,808,0.02251
1360,0.4529,811.4,0.02251
1365,0.4363,817.8,0.02251
1370,0.4196,822.8,0.001575
1375,0.4029,826.5,0.02251
1380,0.3862,822.9,0.02251
1385,0.3696,821.7,0.02251
1390,0.3529,817.8,0.02251
1395,0.3362,815.3,0.02251
1400,0.3196,812.6,0.02251
1405,0.3029,807.1,0.02251
1410,0.3196,802.5,0.02251
1415,0.3362,799.4,0.01204
1420,0.3362,799.5,0.02251
1425,0.3343,801.6,0.03298
1430,0.3323,799.2,0.02251
1435,0.3303,799.2,0.03298
1440,0.3284,799.4,0.01204
1445,0.3264,799.3,0.02251
1450,0.3244,800.1,0.03298
1455,0.3225,799.4,0.02251
1460,0.3205,799.5,0.001575
1465,0.3185,799.4,0.02251
1470,0.3166,799.4,0.02251
1475,0.3146,800.2,0.03298
1480,0.3126,799.5,0.02251
1485,0.3107,799.4,0.03298
1490,0.3087,799.5,0.03298
1495,0.3067,799.2,0.01204
1500,0.3048,799.4,0.02251
1505,0.3028,799.2,0.02251
1510,0.3008,799.5,0.02251
1515,0.2988,799.2,0.02251
1520,0.2969,799.4,0.03298
1525,0.2949,799.6,0.02251
1530,0.2929,799.4,0.03298
1535,0.291,799.6,0.02251
1540,0.289,799.8,0.03298
1545,0.287,799.5,0.02251
1550,0.2851,799.4,0.03298
