elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.02251
1,0.01075,799.7,0.02251
2,0.0115,799.5,0.02251
3,0.01225,799.6,0.02251
4,0.013,799.5,0.03298
5,0.01375,799.4,0.02251
6,0.0145,799.3,0.02251
7,0.01525,799.7,0.02251
8,0.016,799.7,0.02251
9,0.01675,799.6,0.02251
10,0.0175,799.5,0.02251
11,0.01825,799.6,0.02251
12,0.019,799.5,0.02251
13,0.01975,799.5,0.02251
14,0.0205,799.7,0.03298
15,0.02125,799.4,0.02251
16,0.022,799.4,0.02251
17,0.02275,799.4,0.03298
18,0.0235,799.4,0.02251
19,0.02425,799.3,0.02251
20,0.025,799.6,0.02251
21,0.02575,799.5,0.02251
22,0.0265,799.4,0.02251
23,0.02725,799.4,0.02251
24,0.028,799.5,0.03298
25,0.02875,799.4,0.02251
26,0.0295,799.5,0.02251
27,0.03025,799.5,0.02251
28,0.031,799.5,0.02251
29,0.03175,799.5,0.02251
30,0.0325,799.6,0.02251
31,0.03325,799.4,0.03298
32,0.034,799.6,0.02251
33,0.03475,799.3,0.02251
34,0.0355,799.4,0.03298
35,0.03625,799.4,0.02251
36,0.037,799.4,0.02251
37,0.03775,799.3,0.02251
38,0.0385,799.5,0.02251
39,0.03925,799.4,0.02251
40,0.04,799.4,0.02251
41,0.04075,799.5,0.02251
42,0.0415,799.5,0.03298
43,0.04225,799.5,0.02251
44,0.043,799.5,0.02251
45,0.04375,799.5,0.03298
46,0.0445,799.7,0.02251
47,0.04525,799.5,0.02251
48,0.046,799.6,0.03298
49,0.04675,799.5,0.02251
50,0.0475,799.4,0.02251
51,0.04825,799.4,0.02251
52,0.049,799.4,0.02251
53,0.04975,799.4,0.03298
54,0.0505,799.6,0.02251
55,0.05125,799.5,0.03298
56,0.052,799.4,0.02251
57,0.05275,799.5,0.03298
58,0.0535,799.5,0.02251
59,0.05425,799.6,0.02251
60,0.055,799.4,0.02251
61,0.05575,799.7,0.02251
62,0.0565,799.5,0.02251
63,0.05725,799.5,0.03298
64,0.058,799.4,0.02251
65,0.05875,799.4,0.01204
66,0.0595,799.5,0.02251
67,0.06025,799.4,0.02251
68,0.061,799.5,0.03298
69,0.06175,799.5,0.03298
70,0.0625,799.4,0.03298
71,0.06325,799.4,0.02251
72,0.064,799.4,0.02251
73,0.06475,799.4,0.02251
74,0.0655,799.6,0.02251
75,0.06625,799.3,0.02251
76,0.067,799.5,0.02251
77,0.06775,799.6,0.02251
78,0.0685,799.5,0.02251
79,0.06925,799.4,0.02251
80,0.07,799.3,0.02251
81,0.07075,799.6,0.02251
82,0.0715,799.5,0.03298
83,0.07225,799.5,0.03298
84,0.073,799.5,0.02251
85,0.07375,799.5,0.02251
86,0.0745,799.5,0.02251
87,0.07525,799.4,0.03298
88,0.076,799.3,0.02251
89,0.07675,799.4,0.02251
90,0.0775,799.5,0.02251
91,0.07825,799.4,0.02251
92,0.079,799.4,0.02251
93,0.07975,799.5,0.02251
94,0.0805,799.4,0.02251
95,0.08125,799.6,0.03298
96,0.082,799.6,0.02251
97,0.08275,799.4,0.02251
98,0.0835,799.3,0.02251
99,0.08425,799.6,0.02251
100,0.085,799.4,0.03298
101,0.08575,799.5,0.02251
102,0.0865,799.5,0.03298
103,0.08725,799.4,0.02251
104,0.088,799.6,0.03298
105,0.08875,799.5,0.02251
106,0.0895,799.5,0.02251
107,0.09025,799.5,0.03298
108,0.091,799.5,0.03298
109,0.09175,799.4,0.02251
110,0.0925,799.4,0.02251
111,0.09325,799.6,0.02251
112,0.094,799.4,0.02251
113,0.09475,799.4,0.02251
114,0.0955,799.4,0.03298
115,0.09625,799.4,0.02251
116,0.097,799.5,0.03298
117,0.09775,799.6,0.03298
118,0.0985,799.5,0.02251
119,0.09925,799.5,0.02251
120,0.1,799.4,0.02251
121,0.1007,799.5,0.02251
122,0.1013,799.5,0.02251
123,0.102,799.5,0.02251
124,0.1027,799.4,0.02251
125,0.1033,799.6,0.02251
126,0.104,799.5,0.02251
127,0.1047,799.5,0.02251
128,0.1053,799.7,0.03298
129,0.106,799.5,0.02251
130,0.1067,799.4,0.02251
131,0.1073,799.6,0.02251
132,0.108,799.4,0.02251
133,0.1087,799.7,0.03298
134,0.1093,799.5,0.03298
135,0.11,799.4,0.02251
136,0.1107,799.5,0.02251
137,0.1113,799.4,0.02251
138,0.112,799.5,0.02251
139,0.1127,799.4,0.02251
140,0.1133,799.3,0.02251
141,0.114,799.5,0.02251
142,0.1147,799.5,0.02251
143,0.1153,799,0.02251
144,0.116,799.5,0.02251
145,0.1167,799.4,0.02251
146,0.1173,799.4,0.02251
147,0.118,799.7,0.02251
148,0.1187,799.5,0.02251
149,0.1193,799.4,0.02251
150,0.12,799.5,0.02251
151,0.1207,799.5,0.02251
152,0.1213,799.7,0.02251
153,0.122,799.5,0.02251
154,0.1227,799.5,0.03298
155,0.1233,799.4,0.02251
156,0.124,799.5,0.02251
157,0.1247,799.5,0.03298
158,0.1253,799.5,0.03298
159,0.126,799.6,0.02251
160,0.1267,799.5,0.03298
161,0.1273,799.4,0.03298
162,0.128,799.5,0.02251
163,0.1287,799.4,0.02251
164,0.1293,799.4,0.02251
165,0.13,799.3,0.03298
166,0.1307,799.5,0.02251
167,0.1313,799.5,0.02251
168,0.132,799.6,0.03298
169,0.1327,799.4,0.02251
170,0.1333,799.4,0.03298
171,0.134,799.6,0.02251
172,0.1347,799.5,0.03298
173,0.1353,799.4,0.02251
174,0.136,799.3,0.02251
175,0.1367,799.5,0.02251
176,0.1373,799,0.02251
177,0.138,799.5,0.02251
178,0.1387,799.4,0.02251
179,0.1393,799.5,0.02251
180,0.14,799.4,0.02251
181,0.1407,799.7,0.02251
182,0.1413,799.3,0.03298
183,0.142,799.8,0.03298
184,0.1427,799.3,0.02251
185,0.1433,799.4,0.02251
186,0.144,800.4,0.02251
187,0.1447,799.4,0.02251
188,0.1453,799.3,0.03298
189,0.146,799.5,0.01204
190,0.1467,799.3,0.02251
191,0.1473,799.6,0.02251
192,0.148,799.6,0.02251
193,0.1487,799.6,0.02251
194,0.1493,799,0.02251
195,0.15,799.6,0.01204
196,0.1507,799.5,0.03298
197,0.1513,799.4,0.02251
198,0.152,799.6,0.02251
199,0.1527,799.6,0.03298
200,0.1533,799.6,0.02251
201,0.154,799.6,0.02251
202,0.1547,799.4,0.02251
203,0.1553,799.6,0.02251
204,0.156,799.7,0.02251
205,0.1567,799.6,0.02251
206,0.1573,799.6,0.02251
207,0.158,799.6,0.02251
208,0.1587,799.5,0.02251
209,0.1593,799.3,0.02251
210,0.16,799.5,0.03298
211,0.1607,799.4,0.02251
212,0.1613,799.5,0.02251
213,0.162,799.6,0.02251
214,0.1627,799.3,0.02251
215,0.1633,799.5,0.03298
216,0.164,800.8,0.02251
217,0.1647,799.4,0.02251
218,0.1653,799.4,0.02251
219,0.166,799.5,0.02251
220,0.1667,799.7,0.03298
221,0.1673,799.4,0.02251
222,0.168,799.5,0.02251
223,0.1687,799.5,0.02251
224,0.1693,799.5,0.02251
225,0.17,799.6,0.03298
226,0.1707,799.6,0.02251
227,0.1713,799.6,0.02251
228,0.172,799.6,0.02251
229,0.1727,799.4,0.02251
230,0.1733,799.7,0.03298
231,0.174,799.4,0.02251
232,0.1747,799.9,0.03298
233,0.1753,799.5,0.02251
234,0.176,799.6,0.02251
235,0.1767,799.4,0.02251
236,0.1773,799.6,0.02251
237,0.178,801.1,0.02251
238,0.1787,799.5,0.03298
239,0.1793,800.6,0.03298
240,0.18,799.5,0.03298
241,0.1807,799.6,0.02251
242,0.1813,799.7,0.02251
243,0.182,799.5,0.02251
244,0.1827,799.6,0.02251
245,0.1833,799.5,0.02251
246,0.184,799.8,0.02251
247,0.1847,799.4,0.02251
248,0.1853,799.5,0.02251
249,0.186,799.5,0.02251
250,0.1867,799.3,0.02251
251,0.1873,799.2,0.02251
252,0.188,799.5,0.02251
253,0.1887,799.3,0.02251
254,0.1893,799.4,0.02251
255,0.19,799.6,0.02251
256,0.1907,800,0.02251
257,0.1913,799.4,0.03298
258,0.192,799.6,0.02251
259,0.1927,799.4,0.02251
260,0.1933,799.5,0.03298
261,0.194,799.4,0.02251
262,0.1947,799.6,0.02251
263,0.1953,799.5,0.02251
264,0.196,799.4,0.03298
265,0.1967,799.4,0.02251
266,0.1973,799.5,0.02251
267,0.198,799.4,0.03298
268,0.1987,799.8,0.02251
269,0.1993,799,0.02251
270,0.2,799.5,0.02251
271,0.2007,799.5,0.02251
272,0.2013,799.5,0.02251
273,0.202,799.5,0.01204
274,0.2027,800.3,0.03298
275,0.2033,799.5,0.02251
276,0.204,800.1,0.02251
277,0.2047,799.4,0.02251
278,0.2053,799.6,0.02251
279,0.206,799.5,0.03298
280,0.2067,799.1,0.03298
281,0.2073,799.5,0.03298
282,0.208,799.5,0.03298
283,0.2087,800.4,0.02251
284,0.2093,799.1,0.03298
285,0.21,799.3,0.02251
286,0.2107,799.5,0.02251
287,0.2113,799.9,0.02251
288,0.212,799.3,0.03298
289,0.2127,799.3,0.02251
290,0.2133,799.3,0.02251
291,0.214,799.5,0.02251
292,0.2147,799.5,0.03298
293,0.2153,799,0.02251
294,0.216,799.4,0.001575
295,0.2167,799.8,0.02251
296,0.2173,799.5,0.01204
297,0.218,799.3,0.01204
298,0.2187,799.3,0.02251
299,0.2193,799.4,0.02251
300,0.22,799.5,0.02251
301,0.2207,799.5,0.02251
302,0.2213,799.4,0.02251
303,0.222,799.5,0.02251
304,0.2227,799.6,0.02251
305,0.2233,799.5,0.02251
306,0.224,799.5,0.02251
307,0.2247,799,0.02251
308,0.2253,799.7,0.01204
309,0.226,799.4,0.02251
310,0.2267,799.5,0.03298
311,0.2273,799.4,0.02251
312,0.228,799.8,0.02251
313,0.2287,799.6,0.02251
314,0.2293,799,0.02251
315,0.23,799,0.02251
316,0.2307,799.5,0.02251
317,0.2313,799.4,0.03298
318,0.232,799.7,0.03298
319,0.2327,799.9,0.02251
320,0.2333,799.6,0.03298
321,0.234,799.5,0.02251
322,0.2347,799.3,0.03298
323,0.2353,799.4,0.02251
324,0.236,801.5,0.02251
325,0.2367,799.4,0.02251
326,0.2373,799.5,0.03298
327,0.238,799.6,0.03298
328,0.2387,799.5,0.02251
329,0.2393,799.4,0.02251
330,0.24,800.2,0.03298
331,0.2407,799.6,0.02251
332,0.2413,799.5,0.03298
333,0.242,799.5,0.02251
334,0.2427,799,0.02251
335,0.2433,799.4,0.02251
336,0.244,799.1,0.02251
337,0.2447,799.5,0.02251
338,0.2453,799.3,0.03298
339,0.246,799.3,0.02251
340,0.2467,799.5,0.02251
341,0.2473,799.8,0.03298
342,0.248,799.5,0.02251
343,0.2487,799.5,0.02251
344,0.2493,799.4,0.02251
345,0.25,799.4,0.01204
346,0.2507,799.5,0.02251
347,0.2513,799,0.02251
348,0.252,799.5,0.02251
349,0.2527,799.6,0.02251
350,0.2533,799.4,0.02251
351,0.254,799.5,0.02251
352,0.2547,799.5,0.02251
353,0.2553,799.4,0.03298
354,0.256,799.6,0.02251
355,0.2567,799.3,0.02251
356,0.2573,799,0.02251
