elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.3,0.03298
1,0.019,799.5,0.03298
2,0.028,799.5,0.03298
3,0.037,799.6,0.03298
4,0.046,799.6,0.02251
5,0.055,799.4,0.02251
6,0.064,799.5,0.02251
7,0.073,799.4,0.02251
8,0.082,799.5,0.03298
9,0.091,799.5,0.02251
10,0.1,799.4,0.02251
11,0.1015,799.5,0.03298
12,0.103,799.7,0.02251
13,0.1045,799.5,0.02251
14,0.1027,799.7,0.02251
15,0.1033,799.4,0.02251
16,0.104,799.5,0.02251
17,0.1047,799.6,0.02251
18,0.112,799.5,0.02251
19,0.1135,799.4,0.03298
20,0.115,799.4,0.03298
21,0.1165,799.5,0.02251
22,0.118,799.5,0.02251
23,0.1195,799.4,0.02251
24,0.121,799.5,0.02251
25,0.1225,799.4,0.02251
26,0.124,799.5,0.02251
27,0.1255,799.4,0.02251
28,0.127,799.6,0.02251
29,0.1285,799.6,0.02251
30,0.13,799.4,0.02251
31,0.1315,799.5,0.02251
32,0.133,799.4,0.02251
33,0.1345,799.5,0.02251
34,0.136,799.5,0.02251
35,0.1375,799.5,17.18
36,0.139,799.4,21.38
37,0.1405,799.4,21.38
38,0.142,799.4,21.38
39,0.1435,799.5,21.38
40,0.145,799.6,21.38
41,0.1465,799.5,21.38
42,0.148,799.5,21.38
43,0.1495,799.5,21.38
44,0.151,799.5,21.38
45,0.1525,799.4,21.38
46,0.154,799.5,4.597
47,0.1555,799.4,14.33
48,0.157,799.5,21.38
49,0.1585,799.4,20.34
50,0.16,799.6,19.57
51,0.1615,799.5,19.84
52,0.163,799.7,19.94
53,0.1645,799.4,19.95
54,0.166,799.5,19.93
55,0.1675,800,19.93
56,0.169,799.7,19.95
57,0.1705,799.6,19.96
58,0.172,799,19.96
59,0.1735,799.4,19.97
60,0.175,799.6,19.97
61,0.1765,799.4,19.97
62,0.178,799.4,20.01
63,0.1795,800.3,19.97
64,0.181,799.4,19.99
65,0.1825,800.9,19.99
66,0.184,799.7,20
67,0.1855,799.3,20
68,0.187,799.5,19.99
69,0.1885,799.6,20
70,0.19,799.7,20
71,0.1915,800,19.99
72,0.193,799.5,19.99
73,0.1945,799.4,20
74,0.196,799.5,20.01
75,0.1975,799.4,20.01
76,0.199,799.7,19.99
77,0.2005,799.4,20.01
78,0.202,799.4,20
79,0.2035,799,20
80,0.205,799.5,20.01
81,0.2065,799.1,20.01
82,0.208,799.9,20
83,0.2095,799.4,20
84,0.211,799.4,20.01
85,0.2125,799.5,20.02
86,0.214,799.8,20.01
87,0.2155,799.4,20.01
88,0.217,799,20.05
89,0.2185,799.6,20.02
90,0.22,799.4,20.01
91,0.2215,799.5,20.02
92,0.223,799.7,20.02
93,0.2245,799.5,20.04
94,0.226,799.2,20.01
95,0.2275,799.3,20.03
96,0.229,799.5,20.04
97,0.2305,799.4,20.02
98,0.232,799.6,20.03
99,0.2335,799,20.01
100,0.235,799.5,20.03
101,0.2365,799.4,20.04
102,0.238,799.2,20.02
103,0.2395,799.4,20.01
104,0.241,799.5,20.03
105,0.2425,799.3,20.04
106,0.244,799.5,20
107,0.2455,799.4,20.04
108,0.247,799.5,20.04
109,0.2485,799,20.05
110,0.25,799.5,20.01
111,0.2515,799.4,20.03
112,0.253,799.5,20.03
113,0.2545,799.3,20.03
114,0.256,799.4,20.03
115,0.2575,799,20.03
116,0.259,799,20.02
117,0.2605,799.6,20.04
118,0.262,799.7,20.03
119,0.2635,799.4,20.04
120,0.265,799.4,20.04
121,0.2665,799.4,20.04
122,0.268,799.5,20.01
123,0.2695,799.5,20.05
124,0.271,800.2,20.01
125,0.2725,799.4,20.04
126,0.274,799,20.03
127,0.2755,799.5,20.04
128,0.277,799.6,20.02
129,0.2785,800.5,20.04
130,0.28,799.4,20.03
131,0.2815,799.8,20.04
132,0.283,799.5,20.04
133,0.2845,799.4,20.02
134,0.286,800.6,20.04
135,0.2875,799.5,20.02
136,0.289,799.6,20.03
137,0.2905,799.6,20.01
138,0.292,799.5,20.04
139,0.2935,799.5,20.03
140,0.295,799.5,20.03
141,0.2965,799.6,20.04
142,0.298,799.7,20.01
143,0.2995,799.5,20.07
144,0.301,799.5,20.03
145,0.3025,799.6,20.04
146,0.304,799.5,20.02
147,0.3055,799.6,20.03
148,0.307,799.5,20.03
149,0.3085,799.6,20.05
150,0.31,800.5,20.01
151,0.3115,799.5,20.06
152,0.313,799.4,20.03
153,0.3145,799.5,20.04
154,0.316,799.4,20.05
155,0.3175,799.4,20.01
156,0.319,800.3,20.05
157,0.3205,799.5,20.03
158,0.322,799.6,20
159,0.3235,799.5,20.05
160,0.325,799.4,20.02
161,0.3265,799.5,20.06
162,0.328,799.4,20.04
163,0.3295,800.2,20.11
164,0.331,799.5,20
165,0.3325,799.5,20.08
166,0.334,799.6,20.04
167,0.3355,799.4,20.03
168,0.337,799.2,20.04
169,0.3385,799.2,20.02
170,0.34,800.3,20.06
171,0.3415,799.1,20.02
172,0.343,799.4,20.03
173,0.3445,799.4,20.05
174,0.346,799.5,20.03
175,0.3475,799.7,20.04
176,0.349,799.5,20.04
177,0.3505,799.6,20.03
178,0.352,799.4,20.06
179,0.3535,799.9,20.03
180,0.355,799.5,20.02
181,0.3565,799,20.05
182,0.358,799,20.04
183,0.3595,799.4,20.01
184,0.361,799.6,20.05
185,0.3625,799,20.04
186,0.364,799.4,20.03
187,0.3655,799.5,20.04
188,0.367,800.4,20.04
189,0.3685,802.3,20.02
190,0.37,804.2,20.06
191,0.3715,806.1,20.04
192,0.373,808,20.03
193,0.3745,809.2,20.06
194,0.376,812.2,20.04
195,0.3775,814,20.04
196,0.379,816.2,20.03
197,0.3805,817.9,20.04
198,0.382,820.4,20.04
199,0.3835,821.8,20.02
200,0.385,823.8,20.05
201,0.3865,825.6,20.03
202,0.388,827.5,20.01
203,0.3895,829.1,20.08
204,0.391,830.8,20.04
205,0.3925,832.4,20.02
206,0.394,834.2,20.04
207,0.3955,835.8,20.06
208,0.397,837,20.04
