elapsed_s,power_mA,temperature_C,flow_sccm
0,0.01,799.5,0.03298
1,0.019,799.6,0.02251
2,0.028,799.3,0.02251
3,0.037,799.5,0.02251
4,0.046,799.7,0.02251
5,0.055,799.6,0.02251
6,0.064,799.4,0.02251
7,0.073,799.4,0.02251
8,0.082,799.4,0.01204
9,0.091,799.5,0.02251
10,0.1,799.4,0.01204
11,0.1003,799.4,0.02251
12,0.1007,799.5,0.02251
13,0.101,799.5,0.02251
14,0.1013,799.4,0.02251
15,0.1017,799.5,0.02251
16,0.102,799.5,0.02251
17,0.1023,799.6,0.02251
18,0.1027,799.4,0.03298
19,0.103,799.6,0.02251
20,0.1033,799.6,0.03298
21,0.1037,799.4,0.03298
22,0.104,799.4,0.02251
23,0.1043,799.4,0.02251
24,0.1047,799.5,0.02251
25,0.105,799.4,0.02251
26,0.1053,799.5,0.03298
27,0.1057,799.6,0.02251
28,0.106,799.4,0.02251
29,0.1063,799.5,0.02251
30,0.1067,799.5,0.02251
31,0.107,799.6,0.02251
32,0.1073,799.4,0.03298
33,0.1077,799.5,0.02251
34,0.108,799.5,0.02251
35,0.1083,799.6,0.02251
36,0.1087,799.4,0.02251
37,0.109,799.6,0.02251
38,0.1093,799.4,0.02251
39,0.1097,799.4,0.02251
40,0.11,799.6,0.02251
41,0.1103,799.5,0.03298
42,0.1107,799.4,0.02251
43,0.111,799.5,0.02251
44,0.1113,799.5,0.02251
45,0.1117,799.5,0.02251
46,0.112,799.5,0.02251
47,0.1123,799.4,0.03298
48,0.1127,799.5,0.02251
49,0.113,799.5,0.03298
50,0.1133,799.5,0.03298
51,0.1137,799.4,0.02251
52,0.114,799.7,0.02251
53,0.1143,799.5,0.02251
54,0.1147,799.4,0.03298
55,0.115,799.4,0.02251
56,0.1153,799.5,0.02251
57,0.1157,799.4,0.03298
58,0.116,799.4,0.02251
59,0.1163,799.6,0.02251
60,0.1167,799.7,0.02251
61,0.117,799.5,0.02251
62,0.1173,799.5,0.02251
63,0.1177,799.6,0.03298
64,0.118,799.5,0.03298
65,0.1183,799.6,0.02251
66,0.1187,799.4,0.03298
67,0.119,799.4,0.02251
