elapsed_s,power_mA,temperature_C
0,0,799.6
3.012,0,799.6
6.024,0,799.6
9.036,0,799.6
12.05,0,799.6
15.06,0,799.6
18.07,0.02,799.6
21.08,0.04,799.6
24.1,0.06,799.6
27.11,0.08,799.6
30.12,0.1,799.6
33.13,0.1,799.6
36.14,0.1001,799.6
39.16,0.1001,799.6
42.17,0.1002,799.6
45.18,0.1002,799.6
48.19,0.1003,799.6
51.2,0.1003,799.6
54.22,0.1004,799.6
57.23,0.1004,799.6
60.24,0.1004,799.6
63.25,0.1005,799.6
66.26,0.1005,799.6
69.28,0.1006,799.6
72.29,0.1006,799.6
75.3,0.1007,799.6
78.31,0.1007,799.6
81.32,0.1008,799.6
84.34,0.1008,799.6
87.35,0.1008,799.6
90.36,0.1009,799.6
93.37,0.1009,799.6
96.38,0.101,799.6
99.4,0.101,799.6
102.4,0.1011,799.6
105.4,0.1011,799.6
108.4,0.1012,799.6
111.4,0.1012,799.6
114.5,0.1012,799.6
117.5,0.1013,799.6
120.5,0.1013,799.6
123.5,0.1014,799.6
126.5,0.1014,799.6
129.5,0.1015,799.6
132.5,0.1015,799.6
135.5,0.1016,799.6
138.6,0.1016,799.6
141.6,0.1016,799.6
144.6,0.1017,799.6
147.6,0.1017,799.6
150.6,0.1018,799.6
153.6,0.1018,799.6
156.6,0.1019,799.6
159.6,0.1019,799.6
162.6,0.102,799.6
165.7,0.102,799.6
168.7,0.102,799.6
171.7,0.1021,799.6
174.7,0.1021,799.6
177.7,0.1022,799.6
180.7,0.1022,799.6
183.7,0.1023,799.6
186.7,0.1023,799.6
189.8,0.1024,799.6
192.8,0.1024,799.6
195.8,0.1024,799.6
198.8,0.1025,799.6
201.8,0.1025,799.6
204.8,0.1026,799.6
207.8,0.1026,799.6
210.8,0.1027,799.6
213.9,0.1027,799.6
216.9,0.1028,799.6
219.9,0.1028,799.6
222.9,0.1028,799.6
225.9,0.1029,799.6
228.9,0.1029,799.6
231.9,0.103,799.6
234.9,0.103,799.6
237.9,0.1031,799.6
241,0.1031,799.6
244,0.1032,799.6
247,0.1032,799.6
250,0.1032,799.6
253,0.1033,799.6
256,0.1033,799.6
259,0.1034,799.6
262,0.1034,799.6
265.1,0.1035,799.6
268.1,0.1035,799.6
271.1,0.1036,799.6
274.1,0.1036,799.6
277.1,0.1036,799.6
280.1,0.1037,799.6
283.1,0.1037,799.6
286.1,0.1038,799.6
289.2,0.1038,799.6
292.2,0.1039,799.6
295.2,0.1039,799.6
298.2,0.104,799.6
301.2,0.104,799.6
304.2,0.104,799.6
307.2,0.1041,799.6
310.2,0.1041,799.6
313.2,0.1042,799.6
316.3,0.1042,799.6
319.3,0.1043,799.6
322.3,0.1043,799.6
325.3,0.1044,799.6
328.3,0.1044,799.6
331.3,0.1044,799.6
334.3,0.1045,799.6
337.3,0.1045,799.6
340.4,0.1046,799.6
343.4,0.1046,799.6
346.4,0.1047,799.6
349.4,0.1047,799.6
352.4,0.1048,799.6
355.4,0.1048,799.6
358.4,0.1048,799.6
361.4,0.1049,799.6
364.5,0.1049,799.6
367.5,0.105,799.6
370.5,0.105,799.6
373.5,0.1051,799.6
376.5,0.1051,799.6
379.5,0.1052,799.6
382.5,0.1052,799.6
385.5,0.1052,799.6
388.5,0.1053,799.6
391.6,0.1053,799.6
394.6,0.1054,799.6
397.6,0.1054,799.6
400.6,0.1055,799.6
403.6,0.1055,799.6
406.6,0.1056,799.6
409.6,0.1056,799.6
412.6,0.1056,799.6
415.7,0.1057,799.6
418.7,0.1057,799.6
421.7,0.1058,799.6
424.7,0.1058,799.6
427.7,0.1059,799.6
430.7,0.1059,799.6
433.7,0.106,799.6
436.7,0.106,799.6
439.8,0.106,799.6
442.8,0.1061,799.6
445.8,0.1061,799.6
448.8,0.1062,799.6
451.8,0.1062,799.6
454.8,0.1063,799.6
457.8,0.1063,799.6
460.8,0.1064,799.6
463.8,0.1064,799.6
466.9,0.1064,799.6
469.9,0.1065,799.6
472.9,0.1065,799.6
475.9,0.1066,799.6
478.9,0.1066,799.6
481.9,0.1067,799.6
484.9,0.1067,799.6
487.9,0.1068,799.6
491,0.1068,799.6
494,0.1068,799.6
497,0.1069,799.6
500,0.1069,799.6
503,0.107,799.6
506,0.107,799.6
509,0.1071,799.6
512,0.1071,799.6
515.1,0.1072,799.6
518.1,0.1072,799.6
521.1,0.1072,799.6
524.1,0.1073,799.6
527.1,0.1073,799.6
530.1,0.1074,799.6
533.1,0.1074,799.6
536.1,0.1075,799.6
539.1,0.1075,799.6
542.2,0.1076,799.6
545.2,0.1076,799.6
548.2,0.1076,799.6
551.2,0.1077,799.6
554.2,0.1077,799.6
557.2,0.1078,799.6
560.2,0.1078,799.6
563.2,0.1079,799.6
566.3,0.1079,799.6
569.3,0.108,799.6
572.3,0.108,799.6
575.3,0.108,799.6
578.3,0.1081,799.6
581.3,0.1081,799.6
584.3,0.1082,799.6
587.3,0.1082,799.6
590.4,0.1083,799.6
593.4,0.1083,799.6
596.4,0.1084,799.6
599.4,0.1084,799.6
602.4,0.1084,799.6
605.4,0.1085,799.6
608.4,0.1085,799.6
611.4,0.1086,799.6
614.4,0.1086,799.6
617.5,0.1087,799.6
620.5,0.1087,799.6
623.5,0.1088,799.6
626.5,0.1088,799.6
629.5,0.1088,799.6
632.5,0.1089,799.6
635.5,0.1089,799.6
638.5,0.109,799.6
641.6,0.109,799.6
644.6,0.1091,799.6
647.6,0.1091,799.6
650.6,0.1092,799.6
653.6,0.1092,799.6
656.6,0.1092,799.6
659.6,0.1093,799.6
662.6,0.1093,799.6
665.7,0.1094,799.6
668.7,0.1094,799.6
671.7,0.1095,799.6
674.7,0.1095,799.6
677.7,0.1096,799.6
680.7,0.1096,799.6
683.7,0.1096,799.6
686.7,0.1097,799.6
689.7,0.1097,799.6
692.8,0.1098,799.6
695.8,0.1098,799.6
698.8,0.1099,799.6
701.8,0.1099,799.6
704.8,0.11,799.6
707.8,0.11,799.6
710.8,0.11,799.6
713.8,0.1101,799.6
716.9,0.1101,799.6
719.9,0.1102,799.6
722.9,0.1102,799.6
725.9,0.1103,799.6
728.9,0.1103,799.6
731.9,0.1104,799.6
734.9,0.1104,799.6
737.9,0.1104,799.6
741,0.1105,799.6
744,0.1105,799.6
747,0.1106,799.6
750,0.1106,799.6
753,0.1107,799.6
756,0.1107,799.6
759,0.1108,799.6
762,0.1108,799.6
765,0.1108,799.6
768.1,0.1109,799.6
771.1,0.1109,799.6
774.1,0.111,799.6
777.1,0.111,799.6
780.1,0.1111,799.6
783.1,0.1111,799.6
786.1,0.1112,799.6
789.1,0.1112,799.6
792.2,0.1112,799.6
795.2,0.1113,799.6
798.2,0.1113,799.6
801.2,0.1114,799.6
804.2,0.1114,799.6
807.2,0.1115,799.6
810.2,0.1115,799.6
813.2,0.1116,799.6
816.3,0.1116,799.6
819.3,0.1116,799.6
822.3,0.1117,799.6
825.3,0.1117,799.6
828.3,0.1118,799.6
831.3,0.1118,799.6
834.3,0.1119,799.6
837.3,0.1119,799.6
840.3,0.112,799.6
843.4,0.112,799.6
846.4,0.112,799.6
849.4,0.1121,799.6
852.4,0.1121,799.6
855.4,0.1122,799.6
858.4,0.1122,799.6
861.4,0.1123,799.6
864.4,0.1123,799.6
867.5,0.1124,799.6
870.5,0.1124,799.6
873.5,0.1124,799.6
876.5,0.1125,799.6
879.5,0.1125,799.6
882.5,0.1126,799.6
885.5,0.1126,799.6
888.5,0.1127,799.6
891.6,0.1127,799.6
894.6,0.1128,799.6
897.6,0.1128,799.6
900.6,0.1128,799.6
903.6,0.1129,799.6
906.6,0.1129,799.6
909.6,0.113,799.6
912.6,0.113,799.6
915.6,0.1131,799.6
918.7,0.1131,799.6
921.7,0.1132,799.6
924.7,0.1132,799.6
927.7,0.1132,799.6
930.7,0.1133,799.6
933.7,0.1133,799.6
936.7,0.1134,799.6
939.7,0.1134,799.6
942.8,0.1135,799.6
945.8,0.1135,799.6
948.8,0.1136,799.6
951.8,0.1136,799.6
954.8,0.1136,799.6
957.8,0.1137,799.6
960.8,0.1137,799.6
963.8,0.1138,799.6
966.9,0.1138,799.6
969.9,0.1139,799.6
972.9,0.1139,799.6
975.9,0.114,799.6
978.9,0.114,799.6
981.9,0.114,799.6
984.9,0.1141,799.6
987.9,0.1141,799.6
990.9,0.1142,799.6
994,0.1142,799.6
997,0.1143,799.6
1000,0.1143,799.6
1003,0.1144,799.6
1006,0.1144,799.6
1009,0.1144,799.6
1012,0.1145,799.6
1015,0.1145,799.6
1018,0.1146,799.6
1021,0.1146,799.6
1024,0.1147,799.6
1027,0.1147,799.6
1030,0.1148,799.6
1033,0.1148,799.6
1036,0.1148,799.6
1039,0.1149,799.6
1042,0.1149,799.6
1045,0.115,799.6
1048,0.115,799.6
1051,0.1151,799.6
1054,0.1151,799.6
1057,0.1152,799.6
1060,0.1152,799.6
1063,0.1152,799.6
1066,0.1153,799.6
1069,0.1153,799.6
1072,0.1154,799.6
1075,0.1154,799.6
1078,0.1155,799.6
1081,0.1155,799.6
1084,0.1156,799.6
1087,0.1156,799.6
1090,0.1156,799.6
1093,0.1157,799.6
1096,0.1157,799.6
1099,0.1158,799.6
1102,0.1158,799.6
1105,0.1159,799.6
1108,0.1159,799.6
1111,0.116,799.6
1114,0.116,799.6
1117,0.116,799.6
1120,0.1161,799.6
1123,0.1161,799.6
1126,0.1162,799.6
1130,0.1162,799.6
1133,0.1163,799.6
1136,0.1163,799.6
1139,0.1164,799.6
1142,0.1164,799.6
1145,0.1164,799.6
1148,0.1165,799.6
1151,0.1165,799.6
1154,0.1166,799.6
1157,0.1166,799.6
1160,0.1167,799.6
1163,0.1167,799.6
1166,0.1168,799.6
1169,0.1168,799.6
1172,0.1168,799.6
1175,0.1169,799.6
1178,0.1169,799.6
1181,0.117,799.6
1184,0.117,799.6
1187,0.1171,799.6
1190,0.1171,799.6
1193,0.1172,799.6
1196,0.1172,799.6
1199,0.1172,799.6
1202,0.1173,799.6
1205,0.1173,799.6
1208,0.1174,799.6
1211,0.1174,799.6
1214,0.1175,799.6
1217,0.1175,799.6
1220,0.1176,799.6
1223,0.1176,799.6
1226,0.1176,799.6
1229,0.1177,799.6
1232,0.1177,799.6
1235,0.1178,799.6
1238,0.1178,799.6
1241,0.1179,799.6
1244,0.1179,799.6
1247,0.118,799.6
1250,0.118,799.6
1253,0.118,799.6
1256,0.1181,799.6
1259,0.1181,799.6
1262,0.1182,799.6
1265,0.1182,799.6
1268,0.1183,799.6
1271,0.1183,799.6
1274,0.1184,799.6
1277,0.1184,799.6
1280,0.1184,799.6
1283,0.1185,799.6
1286,0.1185,799.6
1289,0.1186,799.6
1292,0.1186,799.6
1295,0.1187,799.6
1298,0.1187,799.6
1301,0.1188,799.6
1304,0.1188,799.6
1307,0.1188,799.6
1310,0.1189,799.6
1313,0.1189,799.6
1316,0.119,799.6
1319,0.119,799.6
1322,0.1191,799.6
1325,0.1191,799.6
1328,0.1192,799.6
1331,0.1192,799.6
1334,0.1192,799.6
1337,0.1193,799.6
1340,0.1193,799.6
1343,0.1194,799.6
1346,0.1194,799.6
1349,0.1195,799.6
1352,0.1195,799.6
1355,0.1196,799.6
1358,0.1196,799.6
1361,0.1196,799.6
1364,0.1197,799.6
1367,0.1197,799.6
1370,0.1198,799.6
1373,0.1198,799.6
1376,0.1199,799.6
1379,0.1199,799.6
1383,0.12,799.6
1386,0.12,799.6
1389,0.12,799.6
1392,0.1201,799.6
1395,0.1201,799.6
1398,0.1202,799.6
1401,0.1202,799.6
1404,0.1203,799.6
1407,0.1203,799.6
1410,0.1204,799.6
1413,0.1204,799.6
1416,0.1204,799.6
1419,0.1205,799.6
1422,0.1205,799.6
1425,0.1206,799.6
1428,0.1206,799.6
1431,0.1207,799.6
1434,0.1207,799.6
1437,0.1208,799.6
1440,0.1208,799.6
1443,0.1208,799.6
1446,0.1209,799.6
1449,0.1209,799.6
1452,0.121,799.6
1455,0.121,799.6
1458,0.1211,799.6
1461,0.1211,799.6
1464,0.1212,799.6
1467,0.1212,799.6
1470,0.1212,799.6
1473,0.1213,799.6
1476,0.1213,799.6
1479,0.1214,799.6
1482,0.1214,799.6
1485,0.1215,799.6
1488,0.1215,799.6
1491,0.1216,799.6
1494,0.1216,799.6
1497,0.1216,799.6
1500,0.1217,799.6
1503,0.1217,799.6
1506,0.1218,799.6
1509,0.1218,799.6
1512,0.1219,799.6
1515,0.1219,799.6
1518,0.122,799.6
1521,0.122,799.6
1524,0.122,799.6
1527,0.1221,799.6
1530,0.1221,799.6
1533,0.1222,799.6
1536,0.1222,799.6
1539,0.1223,799.6
1542,0.1223,799.6
1545,0.1224,799.6
1548,0.1224,799.6
1551,0.1224,799.6
1554,0.1225,799.6
1557,0.1225,799.6
1560,0.1226,799.6
1563,0.1226,799.6
1566,0.1227,799.6
1569,0.1227,799.6
1572,0.1228,799.6
1575,0.1228,799.6
1578,0.1228,799.6
1581,0.1229,799.6
1584,0.1229,799.6
1587,0.123,799.6
1590,0.123,799.6
1593,0.1231,799.6
1596,0.1231,799.6
1599,0.1232,799.6
1602,0.1232,799.6
1605,0.1232,799.6
1608,0.1233,799.6
1611,0.1233,799.6
1614,0.1234,799.6
1617,0.1234,799.6
1620,0.1235,799.6
1623,0.1235,799.6
1626,0.1236,799.6
1629,0.1236,799.6
1633,0.1236,799.6
1636,0.1237,799.6
1639,0.1237,799.6
1642,0.1238,799.6
1645,0.1238,799.6
1648,0.1239,799.6
1651,0.1239,799.6
1654,0.124,799.6
1657,0.124,799.6
1660,0.124,799.6
1663,0.1241,799.6
1666,0.1241,799.6
1669,0.1242,799.6
1672,0.1242,799.6
1675,0.1243,799.6
1678,0.1243,799.6
1681,0.1244,799.6
1684,0.1244,799.6
1687,0.1244,799.6
1690,0.1245,799.6
1693,0.1245,799.6
1696,0.1246,799.6
1699,0.1246,799.6
1702,0.1247,799.6
1705,0.1247,799.6
1708,0.1248,799.6
1711,0.1248,799.6
1714,0.1248,799.6
1717,0.1249,799.6
1720,0.1249,799.6
1723,0.125,799.6
1726,0.125,799.6
1729,0.1251,799.6
1732,0.1251,799.6
1735,0.1252,799.6
1738,0.1252,799.6
1741,0.1252,799.6
1744,0.1253,799.6
1747,0.1253,799.6
1750,0.1254,799.6
1753,0.1254,799.6
1756,0.1255,799.6
1759,0.1255,799.6
1762,0.1256,799.6
1765,0.1256,799.6
1768,0.1256,799.6
1771,0.1257,799.6
1774,0.1257,799.6
1777,0.1258,799.6
1780,0.1258,799.6
1783,0.1259,799.6
1786,0.1259,799.6
1789,0.126,799.6
1792,0.126,799.6
1795,0.126,799.6
1798,0.1261,799.6
1801,0.1261,799.6
1804,0.1262,799.6
1807,0.1262,799.6
1810,0.1263,799.6
1813,0.1263,799.6
1816,0.1264,799.6
1819,0.1264,799.6
1822,0.1264,799.6
1825,0.1265,799.6
1828,0.1265,799.6
1831,0.1266,799.6
1834,0.1266,799.6
1837,0.1267,799.6
1840,0.1267,799.6
1843,0.1268,799.6
1846,0.1268,799.6
1849,0.1268,799.6
1852,0.1269,799.6
1855,0.1269,799.6
1858,0.127,799.6
1861,0.127,799.6
1864,0.1271,799.6
1867,0.1271,799.6
1870,0.1272,799.6
1873,0.1272,799.6
1876,0.1272,799.6
1879,0.1273,799.6
1883,0.1273,799.6
1886,0.1274,799.6
1889,0.1274,799.6
1892,0.1275,799.6
1895,0.1275,799.6
1898,0.1276,799.6
1901,0.1276,799.6
1904,0.1276,799.6
1907,0.1277,799.6
1910,0.1277,799.6
1913,0.1278,799.6
1916,0.1278,799.6
1919,0.1279,799.6
1922,0.1279,799.6
1925,0.128,799.6
1928,0.128,799.6
1931,0.128,799.6
1934,0.1281,799.6
1937,0.1281,799.6
1940,0.1282,799.6
1943,0.1282,799.6
1946,0.1283,799.6
1949,0.1283,799.6
1952,0.1284,799.6
1955,0.1284,799.6
1958,0.1284,799.6
1961,0.1285,799.6
1964,0.1285,799.6
1967,0.1286,799.6
1970,0.1286,799.6
1973,0.1287,799.6
1976,0.1287,799.6
1979,0.1288,799.6
1982,0.1288,799.6
1985,0.1288,799.6
1988,0.1289,799.6
1991,0.1289,799.6
1994,0.129,799.6
1997,0.129,799.6
2000,0.1291,799.6
2003,0.1291,799.6
2006,0.1292,799.6
2009,0.1292,799.6
2012,0.1292,799.6
2015,0.1293,799.6
2018,0.1293,799.6
2021,0.1294,799.6
2024,0.1294,799.6
2027,0.1295,799.6
2030,0.1295,799.6
2033,0.1296,799.6
2036,0.1296,799.6
2039,0.1296,799.6
2042,0.1297,799.6
2045,0.1297,799.6
2048,0.1298,799.6
2051,0.1298,799.6
2054,0.1299,799.6
2057,0.1299,799.6
2060,0.13,799.6
2063,0.13,799.6
2066,0.13,799.6
2069,0.1301,799.6
2072,0.1301,799.6
2075,0.1302,799.6
2078,0.1302,799.6
2081,0.1303,799.6
2084,0.1303,799.6
2087,0.1304,799.6
2090,0.1304,799.6
2093,0.1304,799.6
2096,0.1305,799.6
2099,0.1305,799.6
2102,0.1306,799.6
2105,0.1306,799.6
2108,0.1307,799.6
2111,0.1307,799.6
2114,0.1308,799.6
2117,0.1308,799.6
2120,0.1308,799.6
2123,0.1309,799.6
2126,0.1309,799.6
2129,0.131,799.6
2132,0.131,799.6
2136,0.1311,799.6
2139,0.1311,799.6
2142,0.1312,799.6
2145,0.1312,799.6
2148,0.1312,799.6
2151,0.1313,799.6
2154,0.1313,799.6
2157,0.1314,799.6
2160,0.1314,799.6
2163,0.1315,799.6
2166,0.1315,799.6
2169,0.1316,799.6
2172,0.1316,799.6
2175,0.1316,799.6
2178,0.1317,799.6
2181,0.1317,799.6
2184,0.1318,799.6
2187,0.1318,799.6
2190,0.1319,799.6
2193,0.1319,799.6
2196,0.132,799.6
2199,0.132,799.6
2202,0.132,799.6
2205,0.1321,799.6
2208,0.1321,799.6
2211,0.1322,799.6
2214,0.1322,799.6
2217,0.1323,799.6
2220,0.1323,799.6
2223,0.1324,799.6
2226,0.1324,799.6
2229,0.1324,799.6
2232,0.1325,799.6
2235,0.1325,799.6
2238,0.1326,799.6
2241,0.1326,799.6
2244,0.1327,799.6
2247,0.1327,799.6
2250,0.1328,799.6
2253,0.1328,799.6
2256,0.1328,799.6
2259,0.1329,799.6
2262,0.1329,799.6
2265,0.133,799.6
2268,0.133,799.6
2271,0.1331,799.6
2274,0.1331,799.6
2277,0.1332,799.6
2280,0.1332,799.6
2283,0.1332,799.6
2286,0.1333,799.6
2289,0.1333,799.6
2292,0.1334,799.6
2295,0.1334,799.6
2298,0.1335,799.6
2301,0.1335,799.6
2304,0.1336,799.6
2307,0.1336,799.6
2310,0.1336,799.6
2313,0.1337,799.6
2316,0.1337,799.6
2319,0.1338,799.6
2322,0.1338,799.6
2325,0.1339,799.6
2328,0.1339,799.6
2331,0.134,799.6
2334,0.134,799.6
2337,0.134,799.6
2340,0.1341,799.6
2343,0.1341,799.6
2346,0.1342,799.6
2349,0.1342,799.6
2352,0.1343,799.6
2355,0.1343,799.6
2358,0.1344,799.6
2361,0.1344,799.6
2364,0.1344,799.6
2367,0.1345,799.6
2370,0.1345,799.6
2373,0.1346,799.6
2376,0.1346,799.6
2379,0.1347,799.6
2382,0.1347,799.6
2386,0.1348,799.6
2389,0.1348,799.6
2392,0.1348,799.6
2395,0.1349,799.6
2398,0.1349,799.6
2401,0.135,799.6
2404,0.135,799.6
2407,0.1351,799.6
2410,0.1351,799.6
2413,0.1352,799.6
2416,0.1352,799.6
2419,0.1352,799.6
2422,0.1353,799.6
2425,0.1353,799.6
2428,0.1354,799.6
