elapsed_s,power_mA,temperature_C
0,0,799.6
1,0,799.6
2,0,799.6
3,0,799.6
4,0,799.6
5,0,799.6
6,0.02,799.6
7,0.04,799.6
8,0.06,799.6
9,0.08,799.6
10,0.1,799.6
11,0.1015,799.6
12,0.1031,799.6
13,0.1046,799.6
14,0.1061,799.6
15,0,799.6
16,0,799.6
17,0,799.6
18,0,799.6
19,0,799.6
20,0,799.6
21,0.02,799.6
22,0.04,799.6
23,0.06,799.6
24,0.08,799.6
25,0.1,799.6
26,0.1015,799.6
27,0.1031,799.6
28,0.1046,799.6
29,0.1061,799.6
30,0.1076,799.6
31,0.1092,799.6
32,0.1107,799.6
33,0.1122,799.6
34,0.1137,799.6
35,0.1153,799.6
36,0.1168,799.6
37,0.1183,799.6
38,0.1198,799.6
39,0.1214,799.6
40,0.1229,799.6
41,0.1244,799.6
42,0.1259,799.6
43,0.1275,799.6
44,0.129,799.6
45,0.1305,799.6
46,0.132,799.6
47,0.1336,799.6
48,0.1351,799.6
49,0.1366,799.6
50,0.1381,799.6
51,0.1397,799.6
52,0.1412,799.6
53,0.1427,799.6
54,0.1442,799.6
55,0.1458,799.6
56,0.1473,799.6
57,0.1488,799.6
58,0.1503,799.6
59,0.1519,799.6
60,0.1534,799.6
61,0.1549,799.6
62,0.1564,799.6
63,0.158,799.6
64,0.1595,799.6
65,0.161,799.6
66,0.1625,799.6
67,0.1641,799.6
68,0.1656,799.6
69,0.1671,799.6
70,0.1686,799.6
71,0.1702,799.6
72,0.1717,799.6
73,0.1732,799.6
74,0.1747,799.6
75,0.1763,799.6
76,0.1778,799.6
77,0.1793,799.6
78,0.1808,799.6
79,0.1824,799.6
80,0.1839,799.6
81,0.1854,799.6
82,0.1869,799.6
83,0.1885,799.6
84,0.19,799.6
85,0.1915,799.6
86,0.1931,799.6
87,0.1946,799.6
88,0.1961,799.6
89,0.1976,799.6
90,802.4,nan
91,0.1,799.6
92,0.1,799.6
93,0.1,799.6
94,0.1,799.6
95,0,799.6
96,0,799.6
97,0,799.6
98,0,799.6
99,0,799.6
100,0,799.6
101,0.02,799.6
102,0.04,799.6
103,0.06,799.6
104,0,799.6
105,0,799.6
106,0,799.6
107,0,799.6
108,0,799.6
109,0,799.6
110,0.02,799.6
111,0.04,799.6
112,0.06,799.6
113,0.08,799.6
114,0.1,799.6
115,0,799.6
116,0,799.6
117,0,799.6
118,0,799.6
119,0,799.6
120,0,799.6
121,0.02,799.6
122,0.04,799.6
123,0,799.6
124,0,799.6
125,0,799.6
126,0,799.6
127,0,799.6
128,0,799.6
129,0,799.6
130,0.02,799.6
131,0.04,799.6
132,0.06,799.6
133,0.08,799.6
134,0.1,799.6
135,0.1015,799.6
136,0.1031,799.6
137,0.1046,799.6
138,0.1061,799.6
139,0.1076,799.6
140,0,799.6
141,0,799.6
142,0,799.6
143,0,799.6
144,0,799.6
145,0,799.6
146,0.02,799.6
147,0.04,799.6
148,0.06,799.6
149,0.08,799.6
150,0.1,799.6
151,0.1015,799.6
152,0.1031,799.6
153,0.1046,799.6
154,0,799.6
155,0,799.6
