elapsed_s,temperature_C
0,1031
3.013,799.6
6.026,799.6
9.039,799.6
12.05,799.6
15.07,799.6
18.08,799.6
21.09,799.6
24.1,799.6
27.12,799.6
30.13,799.6
33.14,799.6
36.16,799.6
39.17,799.6
42.18,799.6
45.2,799.6
48.21,799.6
51.22,799.6
54.23,799.6
57.25,799.6
60.26,799.6
63.27,799.6
66.29,799.6
69.3,799.6
72.31,799.6
75.33,799.6
78.34,799.6
81.35,799.6
84.36,799.6
87.38,799.6
90.39,799.6
93.4,799.6
96.42,799.6
99.43,799.6
102.4,799.6
105.5,799.6
108.5,799.6
111.5,799.6
114.5,799.6
117.5,799.6
120.5,799.6
123.5,799.6
126.5,799.6
129.6,799.6
132.6,799.6
135.6,799.6
138.6,799.6
141.6,799.6
144.6,799.6
147.6,799.6
150.7,799.6
153.7,799.6
156.7,799.6
159.7,799.6
162.7,799.6
165.7,799.6
168.7,799.6
171.7,799.6
174.8,799.6
177.8,799.6
180.8,799.6
183.8,799.6
186.8,799.6
189.8,799.6
192.8,799.6
195.8,799.6
198.9,799.6
201.9,799.6
204.9,799.6
207.9,799.6
210.9,799.6
213.9,799.6
216.9,799.6
219.9,799.6
223,799.6
226,799.6
229,799.6
232,799.6
235,799.6
238,799.6
241,799.6
244.1,799.6
247.1,799.6
250.1,799.6
253.1,799.6
256.1,799.6
259.1,799.6
262.1,799.6
265.1,799.6
268.2,799.6
271.2,799.6
274.2,799.6
277.2,799.6
280.2,799.6
283.2,799.6
286.2,799.6
289.2,799.6
292.3,799.6
295.3,799.6
298.3,799.6
301.3,799.6
304.3,799.6
307.3,799.6
310.3,799.6
313.4,799.6
316.4,799.6
319.4,799.6
322.4,799.6
325.4,799.6
328.4,799.6
331.4,799.6
334.4,799.6
337.5,799.6
340.5,799.6
343.5,799.6
346.5,799.6
349.5,799.6
352.5,799.6
355.5,799.6
358.5,799.6
361.6,799.6
364.6,799.6
367.6,799.6
370.6,799.6
373.6,799.6
376.6,799.6
379.6,799.6
382.7,799.6
385.7,799.6
388.7,799.6
391.7,799.6
394.7,799.6
397.7,799.6
400.7,799.6
403.7,799.6
406.8,799.6
409.8,799.6
412.8,799.6
415.8,799.6
418.8,799.6
421.8,799.6
424.8,799.6
427.8,799.6
430.9,799.6
433.9,799.6
436.9,799.6
439.9,799.6
442.9,799.6
445.9,799.6
448.9,799.6
452,799.6
455,799.6
458,799.6
461,799.6
464,799.6
467,799.6
470,799.6
473,799.6
476.1,799.6
479.1,799.6
482.1,799.6
485.1,799.6
488.1,799.6
491.1,799.6
494.1,799.6
497.1,799.6
500.2,799.6
503.2,799.6
506.2,799.6
509.2,799.6
512.2,799.6
515.2,799.6
518.2,799.6
521.2,799.6
524.3,799.6
527.3,799.6
530.3,799.6
533.3,799.6
536.3,799.6
539.3,799.6
542.3,799.6
545.4,799.6
548.4,799.6
551.4,799.6
554.4,799.6
557.4,799.6
560.4,799.6
563.4,799.6
566.4,799.6
569.5,799.6
572.5,799.6
575.5,799.6
578.5,799.6
581.5,799.6
584.5,799.6
587.5,799.6
590.5,799.6
593.6,799.6
596.6,799.6
599.6,799.6
602.6,799.6
605.6,799.6
608.6,799.6
611.6,799.6
614.7,799.6
617.7,799.6
620.7,799.6
623.7,799.6
626.7,799.6
629.7,799.6
632.7,799.6
635.7,799.6
638.8,799.6
641.8,799.6
644.8,799.6
647.8,799.6
650.8,799.6
653.8,799.6
656.8,799.6
659.8,799.6
662.9,799.6
665.9,799.6
668.9,799.6
671.9,799.6
674.9,799.6
677.9,799.6
680.9,799.6
