run,source,points,duration_min,peak_temp_C,soak_temp_C,has_flow
IFrun016_Ni4N5_010,docs/data_log/IFrun001-020/IFrun016_Ni4N5_010.xlsx,18136,1478.0,1211.1,1199.9,no
IFrun017_Ni4N5_011,docs/data_log/IFrun001-020/IFrun017_Ni4N5_011.xlsx,7641,194.9,1258.6,1249.9,no
IFrun018_Ni4N5_011,docs/data_log/IFrun001-020/IFrun018_Ni4N5_011.xlsx,19008,1523.7,1311.0,1299.8,no
IFrun019_Ni4N5_012,docs/data_log/IFrun001-020/IFrun019_Ni4N5_012.xlsx,15481,991.2,1214.7,1199.6,no
IFrun020_Ni4N5_013,docs/data_log/IFrun001-020/IFrun020_Ni4N5_013.xlsx,11221,374.2,1261.4,1250.4,no
Ni200_001_IFrun004,docs/data_log/IFrun001-020/Ni200_001_IFrun004.lvm,7,86.7,,,no
Ni200_001_IFrun004,docs/data_log/IFrun001-020/Ni200_001_IFrun004.xlsx,1017,51.0,799.6,799.6,no
Ni200_001_IFrun005,docs/data_log/IFrun001-020/Ni200_001_IFrun005.lvm,1866,22.8,,,no
Ni200_001_IFrun005,docs/data_log/IFrun001-020/Ni200_001_IFrun005.xlsx,14782,725.3,,,no
Ni4N5_001b_IFrun006,docs/data_log/IFrun001-020/Ni4N5_001b_IFrun006.xlsx,42,1.3,799.0,799.0,no
Ni4N5_002_IFrun007,docs/data_log/IFrun001-020/Ni4N5_002_IFrun007.xlsx,1437,50.7,799.7,799.6,no
Ni4N5_002_IFrun008,docs/data_log/IFrun001-020/Ni4N5_002_IFrun008.xlsx,11012,183.5,799.6,799.6,no
Ni4N5_002_IFrun009,docs/data_log/IFrun001-020/Ni4N5_002_IFrun009.xlsx,535,26.8,1031.3,1031.3,no
IFrun032_Ni4N5_022_1400C_10min,docs/data_log/IFrun021-040/IFrun032_Ni4N5_022_1400C_10min.xlsx,2270,76.9,1458.6,1397.9,no
IFrun034_Ni4N5_024_1400C_5min,docs/data_log/IFrun021-040/IFrun034_Ni4N5_024_1400C_5min.xlsx,12528,600.5,1373.1,1317.9,no
IFrun035_crucible_1150C_10min,docs/data_log/IFrun021-040/IFrun035_crucible_1150C_10min.xlsx,3940,32.8,860.5,799.5,no
