doi	year	authors	title
10.1063/1.4994651	2018	Xia W; Ma Y; Han S; Wang Y; Liu F; Zhai Y	A new three-dimensional nonscanning laser imaging system based on the illumination pattern of a point-light-source array
10.1063/5.0203542	2024	Zhang W; Lin M; Li H; Qi X	Finite element analysis of pulse sharpening effect of gyromagnetic nonlinear transmission line based on Landau–Lifshitz–Gilbert equation
10.1063/5.0175079	2024	Li B; Zhang S; Chen J; Zhao W	A sequency match filtering algorithm based on the generalized Walsh transform for processing rectangular wave signals
10.1063/5.0250844	2025	Vaughan M; Michailow W; Xia R; Li L; Salih M; Beere H; Ritchie D; Linfield E; Davies A; Freeman J; Cunningham J	Free-space and polarization maintaining delivery of terahertz radiation from a quantum cascade laser in a dry dilution refrigerator
10.1063/5.0219583	2024	Shah K; Delgado-Aparicio L; Kraus B; Ono M; Gao L; Umbach B; Perkins L; Pablant N; Hill K; Bitter M; Teall S; Drake R; Schmidt G	X-ray sources for in situ wavelength calibration of x-ray imaging crystal spectrometers
10.1063/5.0240031	2025	Wang J; Yang J; Xu M; Han X; Hou J; Zhu Y; Li Y; Lin S; Xu L; Zhang J; Zhou R	Development of x-ray imaging diagnostics on Experimental Advanced Superconducting Tokamak using Timepix3 detector
10.1063/5.0061426	2021	Wang C	Gd-containing scintillators for thermal neutron detection via graph-based particle discrimination
10.1063/1.5039320	2018	Kado S; Iwata A; Kanazawa T; Okada H; Yamamoto S; Motojima G; Okazaki H; Minami T; Kobayashi S; Nagasaki K; Ohshima S; Nakamura Y; Ishizawa A; Konoshima S; Mizuuchi T	Application of portable near-infrared spectrometer to Heliotron J plasma diagnostics
10.1063/1.4998990	2017	Yi X; Hao L; Jiang F; Xu L; Song S; Li G; Lin L	Synchronous acquisition of multi-channel signals by single-channel ADC based on square wave modulation
10.1063/1.4944813	2016	Amato A; Fortini S; Watteaux R; Diano M; Espa S; Esposito S; Ferrante M; Peters F; Iudicone D; Ribera d’Alcalà M	TURBOGEN: Computer-controlled vertically oscillating grid system for small-scale turbulence studies on plankton
10.1063/1.4935632	2015	Asaji T; Nakamura T; Furuse M; Hitobo T; Uchida T; Muramatsu M; Kato Y	First results of the 2.45 GHz Oshima electron cyclotron resonance ion source
10.1063/1.4952725	2016	Pardo R	Editorial: Addressing the needs of the future while building on the past
10.1063/1.4948925	2016	Ermis E; Celiktas C; Pilicer E	A method for coincidence timing resolution enhancement
10.1063/1.4994889	2017	Reimer R; Marchuk O; Geiger B; Mc Carthy P; Dunne M; Hobirk J; Wolf R	Influence of non-local thermodynamic equilibrium and Zeeman effects on magnetic equilibrium reconstruction using spectral motional Stark effect diagnostic
10.1063/1.4954981	2016	Srivastava P; Singh S; Sanyasi A; Awasthi L; Mattoo S	A 5 kA pulsed power supply for inductive and plasma loads in large volume plasma device
10.1063/1.4953240	2016	Li F; Chen Z; Zhu L; Liu H; Wang Z; Zhuang G	Note: A calibration method to determine the lumped-circuit parameters of a magnetic probe
10.1063/1.4963678	2016	Meierott S; Hotz T; Néel N; Kröger J	Asymmetry parameter of peaked Fano line shapes
10.1063/1.4934250	2015	Ren K; Liu S; Du H; Hou L; Jing L; Zhao Y; Yang Z; Wei M; Deng K; Yao L; Yang G; Li S; Lan K; Liu J; Zhu X; Ding Y; Yi L	New two-dimensional space-resolving flux detection technique for measurement of hohlraum inner radiation in Shenguang-III prototype
10.1063/1.4927477	2015	Walker J; Langendorf S; Walker M; Polzin K; Kimberlin A	Velocimetry of cathode particles in a magnetoplasmadynamic thruster discharge plasma
10.1063/1.5131103	2020	Yoshida M; Oohara W; Ichikawa M; Hiratsuka J; Saquilayan G; Umeda N; Kojima A; Kashiwagi M	Analysis of the cesium distribution in the JT-60SA negative ion sources for steady long-pulse operation
10.1063/5.0028330	2021	Wang J; Chen L; Wang C; Mao C; Yu H; Cui Z	Thermal and electrical transport at nanosized metallic contacts: In the diffusive–ballistic region at room temperature
10.1063/5.0043829	2021	Jeet J; Eckart M; Gjemso J; Hahn K; Hartouni E; Kerr S; Mariscal E; Moore A; Rubery M; Schlossberg D	Proof-of-concept of a neutron time-of-flight ellipsoidal detector
10.1063/1.5043262	2018	Gott Y; Kadyrgulov A	A new type of ionizer for charge-exchange particle analyzer
10.1063/1.5049738	2019	Zhao L; Xu Z; Li Y; Chen Y; Qin H	A fast key parameter extraction algorithm for long fiber distributed sensing based on Brillouin scattering
10.1063/1.4941433	2016	Yang S; Li C	Research on calibration method of relative infrared radiometer
10.1063/1.4940237	2016	Lin B; Huang C; Chen C; Lin J	Design of a finger base-type pulse oximeter
10.1063/1.5053860	2018	Kosheleva R; Varoutoglou A; Bomis G; Kyzas G; Favvas E; Mitropoulos A	A rotating sample cell for in situ measurements of adsorption with x-rays
10.1063/1.5126080	2020	Wang C; Zhang Y; Sun J; Yang C; Ren X; Li J; Zhang D	Research on a fiber Bragg grating temperature measurement method for inter-satellite laser link
10.1063/5.0020686	2021	Zhu X	Measuring linear electric quadrupole susceptibility of non-centrosymmetric crystals with reflectivity difference
10.1063/5.0186906	2024	Li J; Ge J; Zhang G; Li Y; Wu L; Wu X; Fan S	Noise suppression for an aeromagnetic measurement system on an unmanned helicopter
10.1063/5.0200849	2024	Huang W; Cai S; Wang L; Su Y; Zhu K	Development of a 50 kV hydrogen–helium mixed ion beam implanter
10.1063/5.0144815	2023	Baimolda D; Cechak T; Kulbek M; Aytan N; Shyngysova S	Investigation of concentric-zonal color effects in polyphase ceramic samples by x-ray fluorescence analysis
10.1063/5.0188715	2024	Zhang T; Tang L; Yan Y; Bai X; Wang D; Sun W; Jing F; Lv H; Hu G; Yan M; Hu H	Design of a novel gamma camera with large field of view for 16N diagnosis in the primary loop of nuclear reactor
10.1063/5.0175460	2024	Hu Q; Chen L; Yi R; Chen B; Jin G	Design of transient front-end signal digitizer for x-ray detector in laser inertial confinement fusion facility
10.1063/5.0107141	2022	Mandelis A	Review of Scientific Instruments New Products
10.1063/5.0073915	2021	Tilikin I; Shelkovenko T; Pikuz S; Bland S	Multiframe point-projection radiography imaging based on hybrid X-pinch
10.1063/5.0043111	2021	Beers C; Jaramillo C; Reid N; Schamis H; Allain J; Caughman J; Meitner S; Rapp J; Zinkle S	Development of the materials analysis and particle probe for Proto-MPEX
10.1063/1.5088576	2019	Choe K; Kim D; Chung K; Hwang Y	Improved gating device of time-of-flight ion mass analyzer for ion sources
10.1063/1.5115178	2019	Yu B; Li R; Su J; Xu X; Qiu X; Shang W; Liu J	Insulation improvement of an all-solid pulse forming line with film dielectric
10.1063/1.5135378	2019	D’Angelo A; Reading M; Antonijevic M	A novel micro-photogrammetric instrument for visualizing in 3D small objects applied to the quantitative study of the dissolution behavior of a pharmaceutical dosage form
10.1063/5.0027217	2021	Crowley T; Demers D; Fimognari P	Improvement in the spatial resolution of heavy ion beam probe measurements through application of ion optics
10.1063/5.0046282	2021	Orikasa K; Bacca N; Agarwal A	Meso/macro-scale ultra-soft materials’ mechanical property evaluation device and testbed
10.1063/1.5134084	2020	Li L; Weidner D	Full waveform analysis for high pressure ultrasonic measurement
10.1063/1.5115349	2019	Margara A; Peronio P; Acconcia G; Cugola G; Rech I	High-accuracy and video-rate lifetime extraction from time correlated single photon counting data on a graphical processing unit
10.1063/1.5127833	2020	Kondrashev S; Beebe E; Kanesue T; Okamura M; Ritter J; Scott R	Design of target irradiation and diagnostic chamber to study ps-laser generated plasma as a source of singly charged ions for external injection into an electron beam ion source
10.1063/5.0084125	2022	Mandelis A	Review of Scientific Instruments New Products
10.1063/5.0020460	2020	Kamio S; Fujiwara Y; Ogawa K; Kobayashi M; Sangaroon S; Isobe M; Seki R; Nuga H; Osakabe M; Matsuyama S; Miwa M; Toyama S	Neutron-induced signal on the single crystal chemical vapor deposition diamond-based neutral particle analyzer
10.1063/5.0013713	2020	Gillespie A; Lin C; Thorn R; Higgins H; Baca R; Durso A; Jones D; Ogu R; Marquis J; Duncan R	A new fast response cryogenic evaporative calorimeter
10.1063/1.5126157	2019	Traum C; Henzler P; Lohner S; Becker H; Nabben D; Gumbsheimer P; Hinz C; Lippmann J; Mahapatra S; Brunner K; Seletskiy D; Leitenstorfer A	Multicolor femtosecond pump-probe system with single-electron sensitivity at low temperatures and high magnetic fields
10.1063/1.5032096	2018	dos Santos A; Molaison J; Haberl B; Krishna L; Page K; Loguillo M; Wang X	The high pressure gas capabilities at Oak Ridge National Laboratory’s neutron facilities
10.1063/1.5023757	2018	Zhang X; Gao Y	Large field of view imaging system for remote target capture and trajectory measurement based on cone rotation
10.1063/5.0141637	2023	Chen X; Hu F; Weng W; Zheng W; Xia D; Wang Z; Pan Y	Development of the control system for electron cyclotron resonance heating on J-TEXT tokamak
10.1063/5.0085187	2022	Raspe K; Müller M; Iwe N; Wolf R; Oelßner P; Martinez F; Schweikhard L; Meiwes-Broer K; Tiggesbäumker J	A versatile setup for studying size and charge-state selected polyanionic nanoparticles
10.1063/5.0081205	2022	Saxena S; Paskvan D; Weir N; Sinclair N	A field programmable gate array-based timing and control system for the dynamic compression sector
10.1063/5.0147626	2023	Chakraborty A; Christian P; S A; Kumar S; Kundu A; Mankani A; Baruah U	Design, manufacturing, and testing of 0.35/25 kV, 20 kHz transformers for particle accelerators
10.1063/1.4939612	2016	Hart R; Zhupanska O	Development of the experimental procedure to examine the response of carbon fiber-reinforced polymer composites subjected to a high-intensity pulsed electric field and low-velocity impact
10.1063/1.4922913	2015	Cui Y; Hanley L	ChiMS: Open-source instrument control software platform on LabVIEW for imaging/depth profiling mass spectrometers
10.1063/1.4963308	2016	Zhang L; Sun Y; Luo T; Rahman M	Note: A manifold ranking based saliency detection method for camera
10.1063/1.4922886	2015	Tang H; Yu Z	Note: Improving low-light-level image detection sensitivity with higher speed using auxiliary sinusoidal light signal
10.1063/1.4932314	2015	Wu Q; Ma H; Yang Y; Sun L; Zhang X; Zhang Z; Zhao H; He Y; Zhao H	Status of intense permanent magnet proton source for China-accelerator driven sub-critical system Linac
10.1063/1.4978341	2017	Yang H; Zhu P; Tan J; Hu P; Fan Z	High stable remote photoelectric receiver for interferometry
10.1063/1.4960061	2016	Roche T; Thompson M; Mendoza R; Allfrey I; Garate E; Romero J; Douglass J	Enhanced magnetic field probe array for improved excluded flux calculations on the C-2U advanced beam-driven field-reversed configuration plasma experiment
10.1063/1.4961646	2016	Verma R; Mishra E; Dhang P; Sagar K; Meena M; Shyam A	Development and characterization of a high yield transportable pulsed neutron source with efficient and compact pulsed power system
10.1063/1.5062618	2019	Zeng H; Gao J; Ye P; Guo L; Liao K	Large dynamic range data acquisition system for time-domain electromagnetic interference (TDEMI) measurement receiver
10.1063/1.4971302	2016	Li K; Wang L; Zhang R; Wang Z	Modulation axis performs circular motion in a 45° dual-drive symmetric photoelastic modulator
